dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
-0.76210195,0.94168836,-0.1344431,-0.07063862,0.5795443,0.18733318,-0.39230475,0.23521163,-0.24849628,0.13899334,-0.22494182,0.22295582,-0.10069932,-0.5519008,-0.00059851725,0.17281929,0.6944007,0.07898648,0.3246839,-0.2750023,0.079838075,0.068487264,0.3734989,1.2878091,-0.05354314,0.40110943,0.27525723,0.31768805,-0.8228332,0.14953467,0.32680604,0.7783785,-0.6200272,-0.04621695,0.15029667,0.6853669,-0.2287785,-0.19536899,-0.47839093,0.05230147,-0.010648296,0.048598737,-0.4273398,-0.6827258,0.66461015,-0.42124596,0.97238266,-0.70953923,1.1361071,0.7969978,-0.35384142,1.0586191,0.865619,0.7379332,-0.1653277,-0.29844174,0.25568652,0.29762313,-0.50345504,-0.13600427,-0.70286095,0.97751504,-0.45403624,0.18055032,-0.086809665,-0.11111626,-0.23624617,0.6551354,0.11023239,0.57923204,-1.4578246,-0.686245,-0.20834984,-0.18786749,0.2579916,0.54221475,-0.61680645,-0.29731375,0.011746539,0.6534373,-0.80214256,0.4141872,-0.7965222,0.1803458,0.62145597,0.66919535,1.1960357,-0.41903737,-0.21232307,0.5899121,0.5698568,-0.40166748,-0.011939746,-0.44130877,0.8825172,-0.11865607,-0.35519612,-0.01773754,-0.35197937,-0.5135251
0.020851929,0.29468292,0.22116898,0.11654338,0.7438088,-0.73647404,0.10999909,0.038038928,-0.033760644,0.35383013,-0.21015969,0.1756148,0.20366165,-0.7833422,-0.39013502,-0.05024471,0.6486911,-0.380857,-0.25436214,0.4733146,0.2203245,0.41974324,0.494037,-0.045817677,0.28035375,0.4394085,-0.2613471,-0.1279323,-0.54006165,0.4055911,0.7945966,0.84974134,-0.17704646,0.63585186,0.15799066,0.09677184,-0.3671043,-0.36120257,-0.25194007,-0.1802564,0.015796512,0.29189414,-0.113249816,-0.574123,0.114567,0.089865975,0.30791357,-0.6336636,0.54281163,0.24483174,-0.089389704,0.52167934,0.271443,0.65108174,-0.009105332,-0.44021767,-0.69569457,-0.42934856,-0.3719248,0.1891454,-0.0047936984,0.10404431,-0.7581896,0.5052597,-0.22115874,0.43182436,0.43972728,0.76407385,0.114316285,0.008820162,-0.37460485,-0.40528587,0.10300495,0.30608314,0.5909149,0.37208828,-0.08367968,-0.49133912,0.037942883,-0.11045458,-0.41307858,0.16109358,-0.63892645,-0.27830595,0.053613212,0.079628624,0.14137961,-0.42277092,0.21451002,-0.2574175,0.11362639,0.17327736,-0.38943303,0.2616924,-0.013999073,0.14107278,-0.10130942,0.09753586,-0.2730048,0.4686438
-0.22257715,0.7833243,0.035861745,-0.0029223063,0.4868247,0.19058642,-0.5257863,0.22853576,-0.0041469983,-0.032468267,-0.10576328,0.028967002,-0.05337261,-0.37830734,0.10545382,0.015997268,0.49441987,0.3250218,0.18448485,-0.19329031,0.23823483,0.0686903,0.025171787,0.5708304,-0.041663725,0.325676,0.18306266,0.36891177,-0.68567884,0.37848133,0.21404438,1.2112707,-0.6661897,0.2588088,0.07050671,0.89255923,-0.18153834,-0.373433,-0.6999771,-0.058032423,-0.088663176,0.40472725,-0.70501614,-0.74536973,0.66840976,-0.35510153,0.42851883,-0.33537814,1.1738094,1.1065938,-0.4782761,0.69017625,0.26244065,0.5150298,0.1354498,-0.61275667,-0.12245847,-0.6556908,-0.5278014,0.02545145,-0.42083415,0.58745116,-0.19940524,0.87010103,-0.012120135,0.10155468,0.06757151,0.47981042,0.23059593,0.36061186,-1.0823843,-0.8693446,-0.25567117,-0.32449198,0.30251008,0.51243114,-0.3642313,-0.47106138,0.10610012,0.5849873,-0.9333671,0.5110118,-0.7938769,-0.15075493,0.87740564,0.87260664,1.1072688,-0.44316226,-0.21936531,0.33834845,0.26577544,-0.117337644,-0.14480144,-0.4255101,1.0967594,-0.06728851,-0.010244913,-0.3484673,-0.7893263,-0.37182397
-0.15794346,0.48144534,0.006601782,-0.007379068,0.3533554,0.40045065,-0.30280092,-0.049615692,-0.47820902,0.069692425,-0.14783362,-0.09041368,-0.40968442,-0.51445895,-0.34588265,0.29957783,0.7167342,0.18737628,0.1973022,-0.36758223,-0.16925076,0.51851064,0.3440237,1.0538402,-0.36208123,-0.03675508,0.23316781,0.5141651,-0.59058964,-0.1070836,-0.034312405,0.61741805,-0.4400735,0.27347076,0.21708384,0.5922051,-0.034980066,-0.40787983,-0.31106824,0.14023991,0.15908462,0.10376317,-0.4162645,-0.93726057,0.6426733,-0.457118,0.8157758,-0.37599772,1.1025387,0.70401585,-0.76182497,0.7791991,0.9553033,0.554261,-0.20902231,-0.6814691,0.14582029,0.16634457,-0.2053675,-0.36211416,-0.6060698,0.42446354,-0.39605838,0.48349485,-0.131322,0.35582456,-0.04671352,0.30869862,-0.100302815,0.09539857,-0.92742544,-0.46986172,-0.4801112,-0.8090037,0.169408,0.7683296,-0.5048963,-0.37623015,0.1687391,0.6446403,-0.7095685,0.4222186,-0.040844336,0.41143242,0.7318289,0.7826419,1.1668353,-0.7802277,-0.50544554,0.2985631,0.6494431,-0.2747853,-0.19436583,-0.52191556,0.8478173,-0.32166868,-0.03902148,-0.6175564,-0.6480114,-0.5199884
0.055197064,0.6851362,-0.30234262,0.24408293,0.5875265,-0.6624622,0.1687099,-0.11187462,0.41739854,-0.10817189,0.041394345,-0.27120554,0.14235699,-0.88193893,-0.41736817,-0.02739819,0.3597522,-0.29453382,0.082143106,0.31003135,0.19533277,0.34486213,0.4941017,-0.0013051585,0.26013684,0.44144544,0.09441936,0.15819532,-0.6837891,-0.096309416,0.514013,0.9287721,-0.2154382,0.6510446,0.22053783,0.2372315,-0.18759786,0.09321749,-0.2687057,-0.1767334,-0.13488449,0.9049796,-0.2272371,-0.3782333,0.4790682,-0.034454092,0.19902381,-0.43727365,0.6874681,0.30831537,-0.19654366,0.40824145,0.17311455,0.23416287,-0.28074762,-0.7420376,-0.2952675,-0.7204757,-0.515,0.5704771,0.51560456,0.2496173,-0.46527737,0.54890615,-0.5872796,0.5342872,-0.1575584,0.81347704,0.23909943,0.16991849,-0.527421,-0.16285565,0.26516235,-0.0649182,-0.05556505,0.64413816,-0.052152492,-0.10331555,-0.6001896,-0.38936803,-0.53326356,0.19570622,-0.32558593,-0.05995295,0.17469953,0.032406062,0.23791093,-0.16937944,0.40562722,-0.046171036,-0.068897486,0.34378627,-0.15926091,-0.19904521,-0.27203727,0.047365945,-0.3713452,-0.061616257,-0.56623244,0.17793742
0.25614908,0.46383184,-0.1479053,0.15838608,0.31352878,-0.5008111,0.38852024,0.34997198,-0.35798645,0.14959167,-0.15396942,-0.08672889,0.3128437,-0.82285094,0.14244895,0.13920818,1.0748894,-0.031546593,-0.13010001,0.33574584,0.011177868,0.78146714,0.7012472,0.4063653,0.38190112,0.60203373,-0.14074688,-0.27790114,-0.68187964,0.39703262,0.67681134,1.1167004,-0.027631199,0.38376865,-0.07963355,0.4812559,-0.22623745,-0.19370405,-0.46513858,-0.27027372,0.101516515,0.25849384,-0.29818544,-0.3775445,0.52318984,0.14937498,0.38562104,-0.35738435,0.2677862,0.98946023,-0.2228323,0.3970292,0.31745183,0.71393853,-0.106708445,-0.4010029,-0.13972005,-0.41977185,-0.24893402,-0.24242377,-0.19873576,0.002439012,-0.08449,0.72533023,-0.42146036,-0.0068277023,0.26230583,0.76107705,0.21691807,0.5785522,-0.3435765,-0.37224296,-0.14410403,0.23086286,0.09558094,0.6513617,-0.12315274,0.12770705,-0.20284784,-0.23535271,-0.4634132,0.59228885,-0.9739063,-0.5645345,0.09469799,0.14532773,0.31194276,-0.044760842,0.07650297,0.18991467,-0.033537243,0.20653671,-0.24860865,0.15678327,0.48729792,-0.13424674,-0.3796081,0.037935823,-0.4726566,-0.077976756
-0.4915926,0.9059007,0.086654276,-0.22989641,0.02284003,-0.17647399,-0.078210704,-0.10765495,-0.012816453,0.19780868,-0.29646355,0.38914332,0.22146401,-0.24339952,-0.52387744,-0.18099292,0.47283065,-0.31521702,-0.30637702,0.26560658,-0.094344355,0.24154024,0.30524695,0.45142433,-0.08900511,0.6620132,-0.0035530357,0.5152614,-0.62101305,0.16722997,0.21127321,0.6844812,-0.74764556,0.06614169,0.35042927,1.0492374,-0.1253126,-0.19034362,-0.55260193,-0.18764907,0.011662358,0.27318603,-0.10176715,-0.63136137,0.497017,-0.27735776,0.92405385,-0.43602064,0.78926,0.52209926,-0.29662263,0.89859813,0.48363402,0.6217992,-0.22595747,0.00268571,0.12185877,-0.0192127,-0.124772355,-0.5445293,-0.63930285,0.7206285,-0.26999244,0.11145393,-0.20709635,0.50225914,-0.12977915,0.410831,-0.5661381,0.14720206,-0.6390454,-0.60645884,0.07655873,-0.18667467,-0.07831712,0.07655845,-0.38555303,-0.3292678,-0.44009617,0.50375855,-0.6193333,0.33231935,-0.35683256,0.3745451,0.6226894,0.80756414,0.69265443,-0.53834665,-0.09046928,0.1862835,-0.005176158,-0.55228245,-0.009298919,-0.30749947,1.0155132,0.13912892,0.12370479,-0.17869623,-0.45269573,-0.16378795
-0.24391733,0.31328383,-0.05702026,0.03361366,0.37415406,-0.34109327,-0.1518815,0.17264208,-0.3143729,0.27906892,0.19095391,-0.11970753,-0.18183169,-1.0453899,0.016776543,0.61067533,0.9833713,-0.3249609,-0.13977864,-0.122979894,0.3222802,0.35528585,0.5785288,0.33903363,0.14992225,0.38334334,-0.11069377,0.13455635,-0.86499107,-0.20268214,0.7679082,1.0688331,-0.4428127,0.39990842,0.18978162,0.34611562,-0.5251252,-0.6222593,0.13086112,-0.3698673,0.13561416,0.4151313,-0.19234367,-0.2590435,0.26528943,0.25756654,0.199263,-0.3679761,0.03840352,0.4470013,-0.022615943,0.2901807,0.48021924,0.019955805,-0.71582705,-0.68440586,-0.26675096,-0.08587518,-0.27637857,0.31103155,-0.32624355,0.60357004,-0.72363263,0.61168844,-0.069919825,0.08226613,0.13190967,0.50125104,0.13509314,0.32894054,-0.40042713,-0.28114516,0.61850417,-0.3459218,0.115188636,0.8166828,0.6494417,-0.28248578,-0.11256778,0.048103005,-0.50012505,0.66788363,-0.84663105,-0.45770875,0.21089484,0.100251034,1.0412658,-0.3391629,0.26025024,0.009678754,0.024174595,-0.07102406,-0.35798162,0.21715337,0.3360713,0.01393302,-0.17607853,-0.0838709,0.07538202,0.1966493
-0.15202275,0.36557475,-0.6700267,-0.8448924,0.6992997,0.2627401,0.026518222,0.1878415,-0.630776,0.46664864,-0.45273218,-0.4130837,-0.007327361,-0.45154244,0.18432221,0.1987313,0.5283358,-0.00040128833,0.19960071,-0.021030951,0.17305346,1.2634506,0.22621746,-0.38357297,0.33114147,-0.07307852,-0.27184007,-0.28388163,-0.16161437,-0.13736922,0.75821626,1.4368355,-0.0028102207,1.1894891,0.25610122,0.23037189,-0.6458997,-0.27991205,-0.4713934,0.25402135,-0.019456048,0.35127586,-0.901849,-0.39454314,0.39715868,-0.058782104,0.47714382,0.5586052,0.6631645,0.64417565,-0.85917777,0.7620559,-0.3084816,0.4217576,0.042527124,-0.10112958,0.5582046,-0.35771656,-0.7661943,-0.14481625,-0.12858635,-0.05182722,-0.605688,0.0337984,-0.80486125,0.3738098,-0.24600974,0.7195963,-0.5381962,-0.20424919,-0.11432629,-1.0956717,0.012854925,0.14297433,0.65255046,0.56919533,-0.69580376,-0.23615974,0.008135838,0.12332333,-0.24182838,0.31536922,-0.82802266,0.3792895,0.4371313,0.00350345,0.47174537,-0.11259839,0.11670481,0.60530746,-0.08308387,0.01411452,0.34310064,0.016396286,0.70449114,0.17523201,-0.1489226,-0.00069074554,-0.39571574,-0.081135236
0.30468187,0.30291697,-0.3978875,-0.6953842,0.47358495,0.05683746,0.50993025,0.36230764,-0.18454033,0.41106188,-0.22547638,-0.99045587,0.40200585,-0.8511633,-0.2599275,0.082584254,0.29772228,-0.3682973,0.23508467,-0.021724416,-0.39352992,1.0302002,0.27886036,0.512051,1.0203996,0.32536718,-0.054010984,-0.5951672,-0.54099154,-0.54140717,-0.1042296,1.4511449,-0.24180527,1.3870562,0.38017598,-0.063407026,-0.15215674,-0.3450249,-0.26873988,0.094860524,0.34930465,0.035216104,-0.26169983,-0.0822014,0.285596,-0.43150052,0.30037394,-0.33709583,0.43756327,0.2731044,-0.0125066675,0.73739433,0.87530404,0.8523243,-0.081728205,-0.43982235,0.53585064,-0.44194666,-0.43676794,-0.0250682,0.9659626,0.05084454,-0.65125847,0.34476736,-0.26398116,1.0474883,-0.9191034,1.0658197,0.6575216,-0.18219088,-0.58740133,-0.17007913,0.3166642,-0.20033602,0.9258889,0.2684843,-0.62215877,0.78258383,-0.8390815,-0.44468805,-1.0189378,-0.0472317,-0.34236374,0.87921727,-0.12371513,0.08454785,0.8907,-0.66051406,0.07538361,0.2245645,0.29375622,0.5257342,-0.82182586,-0.5971694,-0.17081839,0.8510481,0.117935725,-0.022414088,-0.60340303,0.2723373
