dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
0.02896006,0.015026689,-0.01162901,-0.015456222,0.07541898,-0.028199146,0.024214657,0.00333109,-0.0061605847,-0.0023610522,-0.025309287,0.014046129,-0.00044660777,-0.08287224,-0.06094942,-0.012490637,0.10565996,0.022727694,-0.026970334,0.0237535,-0.001572249,0.040364373,0.027880283,0.017006012,0.03949166,0.04524374,-0.030267654,0.018884255,-0.030347055,-0.029724268,0.053917214,0.080312185,-0.037488535,0.048146147,0.009779432,0.04162754,-0.045854617,-0.04380695,-0.019795943,0.008819485,0.027307339,0.02325762,0.015669977,-0.06216905,0.000611232,0.012852562,0.044049233,-0.011401998,0.024975382,0.029630471,-0.003999397,0.016395347,0.080326125,0.02140323,-0.005789951,-0.01962739,-0.020261012,-0.016626561,-0.040155813,0.028298786,-0.04421355,0.027210634,-0.03469694,0.064495735,-0.04035051,0.067207865,0.004776273,0.12609062,0.013103153,0.03606505,-0.029141614,-0.07963764,0.018543538,0.00036008938,0.017743729,0.058643363,0.020243203,-0.017559728,-0.0041737864,-0.0008410967,-0.017483693,0.043527998,-0.044413872,-0.02262257,0.004389776,0.05350684,0.03310285,-0.063318186,-0.043320164,0.016456315,-0.0034136584,-0.012429263,-0.01016669,0.033028927,0.018507227,0.02469879,0.0077703153,0.040789388,-0.029627413,-0.0015035036
-0.11913722,-0.013006704,0.60342795,-0.44322807,0.40029693,0.29874325,0.14780067,0.022345338,-1.0202969,0.05296961,-0.24057683,-0.03623613,0.16128653,-0.05723892,-0.44533572,0.3137422,0.5730546,-0.032835204,-0.22814187,-0.41314045,0.09131647,0.015426118,-0.37979263,-0.0992673,0.5357748,0.049608927,-0.5341492,0.609944,0.067497246,-0.5529882,-0.08428746,0.8975387,-0.18602347,0.2765609,-0.0891064,0.23370868,-0.094086215,0.24726957,-0.5109892,0.32229868,0.5201767,0.43251705,0.014770467,-0.8016839,-0.12842233,-0.030614672,0.23380563,0.2482871,0.2781311,0.4848173,0.38201627,-0.37744546,0.17560898,0.23130947,-0.49999774,0.01795871,-0.104645096,-0.15367137,0.14013498,0.20170008,-0.6724866,0.24294631,0.0018035296,0.7873366,0.43323785,0.3388672,-0.37858,0.40895832,-0.54901266,0.33302614,-0.7418513,-0.47486424,-0.23477548,-0.3952364,0.22811371,0.5813866,0.1945387,-0.4348424,0.41099003,0.05036951,-0.1582433,0.056191105,-0.5338725,-0.044450462,-0.1658351,0.6336326,0.41863966,-0.41922024,-0.31709185,0.19631265,-0.1590828,-0.14293544,0.023813626,0.36975035,0.6669595,0.07249908,-0.11524264,0.025396705,-0.24943158,-0.06083643
0.03488515,0.043760065,-0.008496079,-0.013524589,0.074379995,-0.02537228,0.019175416,-0.0067062834,-0.015191467,-0.008164567,-0.0055551366,-0.03316365,-0.01658622,-0.042856958,-0.08093299,-0.035081804,0.083704956,0.02721849,-0.021546334,-0.0014558205,0.010508273,0.015037576,0.03687506,0.011536272,0.053656835,0.066610515,-0.014538064,0.024255032,0.008108839,-0.06019946,0.05614431,0.064518176,-0.035129752,0.04129622,-0.012040582,0.029179301,-0.014546438,-0.025599157,-0.016551929,0.02347037,0.037195437,0.03214816,-0.00029983348,-0.05331864,-0.023896774,-0.006759829,0.06406624,-0.015788676,0.034334578,0.015206738,-0.016861252,0.053411637,0.062462527,0.020474518,-0.040474065,-0.012923999,-0.011923113,-0.015982196,-0.01636537,0.07026207,-0.032772943,0.051699962,-0.038564917,0.05265294,-0.046922296,0.0737166,-0.019770516,0.09786989,0.011863766,0.03513548,-0.03813151,-0.09867925,-0.0025272693,0.009547445,0.0063734436,0.050354544,-0.012341322,-0.01036563,0.003804637,0.0005134648,0.0006450601,0.027747588,-0.029369395,0.012359302,0.016345598,0.0009869768,0.025807794,-0.046049308,-0.035735287,0.001607043,-0.015300127,-0.022407528,0.013347347,0.019768506,0.02316164,0.015491094,0.023499496,0.022173196,-0.020930864,0.019329283
0.031542234,0.021343077,0.013230285,-0.025889661,0.04003887,-0.009896763,0.0037056794,-0.000906388,-0.015861211,-0.013905937,-0.03230955,-0.009878359,-0.0006895045,-0.0616953,-0.070046574,-0.0065029003,0.08864422,0.01472239,-0.014002459,-0.0053917933,0.011493838,0.006279176,0.00822448,0.0143116675,0.039902583,0.07204167,-0.024325034,0.022235459,-0.002750924,-0.052116632,0.06899343,0.08465776,-0.029402515,0.044970624,0.010281635,0.020352183,-0.015210093,-0.018212661,-0.03557319,0.016593693,0.026347924,0.043988384,-0.026325805,-0.070362926,-0.037191454,-0.011905267,0.025647936,-0.008911063,0.020248868,0.017003302,-0.014246774,0.024400478,0.05253558,0.003517176,-0.032486416,-0.032159224,-0.0060130367,-0.010013911,-0.013850092,0.03215468,-0.04164638,0.037768986,-0.060079865,0.0651247,-0.035848226,0.07980084,-0.010472578,0.08128405,-0.001812008,0.029733248,-0.050956614,-0.07133096,-0.004546289,-0.012587383,0.021777188,0.03783913,0.024784395,-0.01907947,0.0073798425,-0.011193387,0.013729173,0.036674414,-0.043750327,0.0020714244,-0.015590965,0.016576981,0.03185649,-0.04317626,0.021064349,-0.0019929179,-0.02043255,-0.00027131385,-0.015464452,0.042727612,0.03511548,0.021926865,0.014435893,0.03577558,-0.009342068,0.02548184
0.10174823,0.49548617,0.31675458,-0.31392866,0.30245823,0.10259867,0.15212995,0.36591044,-0.47878745,0.187347,0.037605364,-0.93996364,0.35051656,-0.55668044,-0.2070005,-0.31522983,0.585362,-0.93016315,-0.25258383,0.3157379,0.4507934,0.2682066,0.34173864,-0.14574707,1.2014182,0.7438398,-0.24403882,0.29824525,-0.5112364,-0.84563243,0.2833876,1.1359111,-0.49365002,0.82177037,-0.03322993,0.033832956,-0.5343727,0.024013253,-0.5008359,0.59960103,0.33199495,0.88700455,0.10940271,-0.20182554,0.45003974,-0.26346692,0.0781089,-0.12608126,0.45461974,0.3132968,0.040629543,0.42341232,0.09362014,0.42663902,-0.79030174,-0.114793494,0.19484867,-0.23702063,0.08644785,0.11374474,-0.4693974,0.062458392,0.44553795,0.33782187,-0.27249536,0.28761727,-0.28348508,0.64570755,0.16133279,0.6449757,-0.8348994,-0.082582116,0.3866697,0.20144735,0.43536547,0.6230954,0.18053351,-0.21305977,-0.6362125,-0.08192179,-0.6608105,0.44989854,-0.11775221,-0.04040457,-0.4812205,0.30814382,0.66379035,0.22787943,-0.26942527,0.089511044,0.22069295,-0.3367301,0.43463823,-0.32964462,0.1425188,0.55049354,0.0064900583,0.041593544,-0.35564277,-0.38131583
0.12938805,0.42523873,0.20833117,-0.3961811,0.35366797,0.10517157,0.20912357,0.4193759,-0.5079915,0.20300613,-0.0009561857,-0.9692065,0.4299582,-0.63451463,-0.21482302,-0.34828055,0.57591254,-0.96893656,-0.25955144,0.28312233,0.5622318,0.24152768,0.31083643,-0.21650596,1.140127,0.75953794,-0.27731198,0.3340418,-0.47206113,-0.8188253,0.23493043,1.1035385,-0.52401847,0.79246455,-0.0019161371,0.012697845,-0.58376676,0.1071423,-0.5619744,0.5732804,0.25776088,0.8501117,0.13380097,-0.20981336,0.43810382,-0.23667261,0.08816421,-0.06499392,0.49923196,0.37556762,0.047427487,0.42099035,0.08271159,0.466748,-0.77288175,-0.11524531,0.13248518,-0.19409238,0.04396413,0.099149264,-0.44851187,0.06649488,0.45963445,0.396489,-0.26800483,0.3311283,-0.3076499,0.6937489,0.15493686,0.6192774,-0.8266676,-0.12104031,0.4244334,0.1704367,0.41919503,0.647248,0.24399316,-0.27736095,-0.62704617,-0.08882841,-0.61322016,0.3278792,-0.18523447,0.010798985,-0.54665637,0.28551432,0.697058,0.13536352,-0.21170193,0.14598484,0.22336715,-0.26052916,0.4950881,-0.33938736,0.118094616,0.5899869,0.016602298,0.10420979,-0.34695566,-0.38164464
0.020752616,0.23153856,0.011961102,-0.35256526,0.06856016,0.26974407,0.22633709,0.3140209,-1.368626,0.09513764,-0.048350465,0.03279747,0.5230417,-0.25188446,-0.69190645,0.10711208,-0.0056025162,0.41594052,-0.14854246,-0.049629595,0.4932235,0.14777672,0.25714418,-0.43833557,0.39263737,0.05066856,-0.384289,0.84541565,0.15330273,-0.42260867,0.14560428,0.39783213,-0.37490395,0.14190131,0.10920473,0.08274133,-0.53856736,-0.3308946,0.23526947,0.0033124068,0.12520452,0.48898932,-0.36936805,-0.5877971,0.50238454,0.11277059,0.63623685,0.016788222,0.35282263,0.8113155,-0.1911325,0.34139222,0.32921335,0.19684455,-0.69342345,-0.029853482,0.020603865,3.408315e-05,-0.02712802,0.6381416,-0.6792805,0.3483346,0.19616634,0.583301,0.1703792,0.025854385,-0.20231839,0.49878275,-0.60154355,0.46729127,-0.2663466,-0.6903614,0.024071109,0.4899122,0.2793628,0.4788071,-0.13870145,-0.3226641,-0.13295414,0.55347687,-0.5012745,0.44405058,-0.41983718,0.20931731,0.29331377,0.46585995,0.111122504,-0.43312225,-0.73076314,0.6984788,-0.20224418,-0.47759625,0.48023847,0.022323279,0.66798794,0.46211505,0.63623476,-0.30075073,-0.000859176,-0.52731645
0.47879964,0.078735426,-1.2003391,-0.36589226,0.4470368,0.21199419,0.63616866,-0.18654026,0.13445254,0.06729376,-0.012882773,-0.6436048,0.2610583,0.05095027,-0.06612853,-0.49985543,0.8028073,0.2778366,-0.23146877,0.21985905,-0.2556291,0.8946737,0.49038634,-0.06901816,0.44199654,0.7054147,-0.29479146,-0.5563775,-0.5421527,-0.8303034,-0.2229279,0.88610774,-0.15017436,0.65590954,0.16212109,0.5802533,0.12725925,-0.26799336,-0.91631305,0.53732157,0.23656254,-0.46039477,-0.19824682,-0.45846987,-0.3383331,-0.2504889,0.8077878,-0.18230323,0.37374306,0.4561417,-0.6222129,0.09670946,0.9395528,0.06830381,0.0030014769,-0.35704085,0.71220213,-0.5638784,-0.14075246,-0.26341164,0.12917717,0.13125618,-0.4681199,0.16076913,-0.45554432,0.55054927,0.3554991,0.5918483,-0.2855763,-0.3100801,-0.2938573,0.010396097,0.114940174,0.14869095,0.12261319,0.5058833,-0.9551194,0.53915703,0.032093387,-0.39744064,0.42217007,0.30707705,-0.4680169,0.6202257,0.021241536,-0.37646252,0.11091893,-0.5526652,0.1149794,0.032107934,0.08071247,0.3033062,0.075686775,-0.018366039,0.27797014,0.24661455,-0.49969646,-0.03517341,-0.27519992,0.25516593
0.08595055,0.22454076,0.29790902,-0.29172593,0.3239964,0.26158196,-0.06908226,-0.16547261,-0.24410543,-0.18300565,0.075760655,-0.43732083,-0.17195863,-0.5639328,-0.72477067,-0.082798935,0.7396727,0.23471424,-0.2660295,-0.34035003,0.15552239,0.34666932,0.71064156,0.15374053,1.0386721,0.4498522,-0.2601337,0.45343608,-0.17773405,-0.72258687,0.61474097,0.8143053,-0.46488604,0.5824001,-0.13280496,-0.12175873,0.44897628,-0.23338822,0.24584045,0.5892209,-0.10086751,0.31248385,0.12297384,-1.1298578,0.27238026,-0.23610523,0.04187407,-0.65012527,0.54675245,-0.016561601,-0.17182422,0.43705627,0.82964766,0.5064181,-0.7263193,0.2595395,0.02296644,-0.37936828,0.07958655,0.7116524,-0.30488336,0.35712254,0.1313577,0.35077506,-0.09080275,0.5432415,-0.32817358,0.13991018,0.37158328,0.9663774,-0.092232294,-0.19020079,0.3751335,0.39211026,0.27432886,0.58278966,0.28808138,-0.018440213,-0.26081598,-0.21694523,0.11148794,0.4426519,0.11423709,0.42445803,-0.5111195,-0.2540575,0.40051955,-0.46988723,-0.12873475,0.007968512,0.04344921,0.071857065,0.038265582,-0.108586155,0.24243566,0.17765701,-0.12550703,0.5536339,-0.11409268,-0.05390524
0.42870215,0.121535234,0.11748492,-0.37175953,-0.38851562,0.51139504,-0.03575856,-0.43087113,-0.36191967,0.56021154,-0.325783,-0.028290076,0.0672864,0.034357533,-0.9877894,-0.4097918,0.40495855,0.28843516,-0.22080743,-0.418475,-0.35444513,0.061091226,0.8546735,0.6264469,0.48925024,0.6856876,0.40483877,0.580272,-0.061841015,-0.63351595,0.74060774,0.44788128,-0.46382195,0.4869485,-0.11273294,0.4600755,-0.24281949,-0.47902146,-0.23848441,0.3174003,0.013242284,0.4492867,-0.35372713,-0.81843954,-0.1884062,-0.79620135,0.956728,-0.92017424,0.45454007,0.21761243,-0.19848567,0.67480654,0.7110449,0.6436803,-0.15344751,-0.5605203,0.13089839,-0.03858203,-0.13387387,-0.35438752,-0.667264,1.2401974,-0.3208027,0.5736375,0.035463035,0.49108517,-0.4258371,-0.11273716,-0.17100736,0.4796932,-0.57638013,-0.5607055,0.29999825,0.18427089,0.4712914,0.278518,-0.373722,-0.13211004,0.109842405,-0.03910002,0.15481433,0.8486391,-0.61919606,0.5368843,-0.04626887,-0.12519391,0.64064145,-0.606356,0.346219,0.13733885,0.6106514,-0.48184744,-0.31515932,0.19759123,1.1174003,-0.028369648,-0.006675476,0.56346434,0.37983567,0.6220732
