dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
0.11711711,-0.6348612,-0.71117055,-0.084232345,-0.24079941,0.7219372,0.14746863,0.15424909,-0.67734635,1.055325,-0.123477705,-0.2460208,-0.13570742,-0.6854485,-0.081572905,0.22901149,0.0055019925,-0.10406102,-0.23249936,0.42578137,0.5452117,0.04708125,0.33856386,0.108009145,1.241782,0.5504767,-0.51498026,-0.30635,0.2531614,-0.7548498,-0.2714311,1.0290849,-0.00076003105,1.0171171,0.37257144,-0.5288378,-0.68291277,-0.5719385,-0.17205204,0.030368308,0.20671514,-0.08578493,-0.5762453,-0.84097123,0.61980176,-0.27505618,0.45899755,0.54062533,0.6377404,0.71608967,-0.13859509,0.47605705,0.055216935,0.4211993,-0.47429213,-0.016116811,0.8398351,-0.30404317,-0.21715175,0.09606365,-0.20966882,0.21588348,-0.06752675,0.5419788,-0.25004378,0.8292835,-0.013474321,1.1863656,-0.83865803,0.3803984,-0.61875486,-0.4561929,0.10279189,0.14532733,-0.05395082,0.91965574,-0.2829047,0.05150207,0.1616477,0.50302476,-0.8163583,-0.4290901,-0.39587718,0.17292877,-0.013278033,0.66415435,0.25692356,-0.095191,-0.32998168,0.39878815,-0.2873949,-0.18650028,-0.11459852,0.22731513,0.6389173,0.5094814,0.19956952,0.017888196,0.023305494,-0.54697627
-0.55306286,-0.15423644,-0.8435366,-0.21241838,-1.1747768,0.12307528,0.3154273,1.3634908,0.51959246,0.8438575,-0.65751255,-0.12715319,1.6452532,-0.40405563,-0.5270804,0.6176275,-0.290471,-0.29004538,-0.3933026,0.3491212,0.43646806,-0.6540063,1.027117,0.2890649,-0.29719096,0.5045776,-0.5193779,1.1882567,-0.97666264,-0.660069,0.3205414,1.6485976,-0.009015246,0.9954801,0.25888819,0.4221022,-0.57837516,-0.6048633,-0.38384086,0.33103824,-0.8661953,0.7855787,-1.0531847,-1.2500583,-1.434332,0.14084381,1.476508,-1.1041595,0.99041855,-0.0658974,0.111663856,0.14529541,0.97776884,0.98003745,0.4385714,-0.63281065,0.8380948,-1.2359456,0.24596034,0.60757303,0.246014,0.6850395,-0.55124265,0.10809113,0.65648055,-0.05188241,-1.2073772,1.3935071,0.70635635,1.1471671,0.5381351,-0.056424107,0.18344973,-0.5132826,0.19620755,1.5558108,0.3650786,-0.277895,-0.58619887,-0.6672743,-0.11605089,0.415191,-0.12982291,-0.20959511,-0.34470975,0.18873313,0.82845515,-0.48567975,-0.8547731,1.1758679,0.502237,-0.7132044,-0.83458066,0.32284236,-0.18975176,0.6083334,0.12207188,-0.43126062,-0.19224538,-0.22423272
0.97140884,-1.5311952,0.58124846,-1.0753316,1.0967165,0.2923437,0.183661,-0.8033253,-0.698123,0.31065086,-0.5541487,-0.77917796,-0.3470437,0.26789463,0.022615327,-0.20069937,1.8662554,-0.45937458,-0.33698022,0.3871185,-1.0299315,0.49956396,0.44884348,-0.555606,0.9084881,-0.101081766,-0.67031187,0.42024723,-1.1610936,-1.2038827,0.98536015,1.3805504,-0.7865596,1.0465566,0.13632809,-0.17998803,-0.71021146,-0.083207995,-0.5202194,0.12173436,0.5502168,1.4766169,0.8806872,-0.8032355,0.40681955,-0.32458958,0.51565236,0.13841115,0.08649391,0.034277875,-0.9435435,0.98190445,-0.2605754,-0.08316069,-0.022341881,-0.40691325,0.5766194,-0.326376,0.40989083,0.6864236,-0.28427565,-0.43444037,1.0997328,0.7041549,-0.5264481,-0.20630337,-0.87455165,0.8787483,-0.24894401,0.2365623,-0.2695748,-0.2321586,0.7838789,-0.0012736635,0.43345523,0.9073175,0.36017707,-0.23114498,1.3674476,0.113015234,-0.20116454,0.21017925,0.16437145,0.7302905,0.9572602,1.6388512,1.6733685,-0.91253036,-0.09800529,0.06946267,-0.11445961,-0.91595596,0.3930598,-0.1396719,-0.17665778,0.24850345,-0.6645936,0.10668263,-0.3238415,0.8775855
-0.041812997,0.39671543,-0.1841103,-0.55029446,0.16120686,-0.33188054,0.37820756,-0.4737258,0.043481,-0.477544,-0.22170524,-0.1842879,-0.017064618,-0.44245028,-1.0924984,0.10717122,1.1325217,-0.28740266,-0.29983908,-0.23688437,0.19480841,0.2760072,0.8650901,0.4675901,1.6070794,0.4463093,-0.033224966,0.064021856,0.16491854,-0.9368167,1.1290708,0.88931113,-0.28413063,0.9580203,0.14574301,0.38507444,0.12058616,-0.9523562,0.16554254,0.8121939,-0.13230786,0.28757226,-0.6014058,-1.1618711,-0.18880571,-0.308742,0.5537439,-0.9455987,0.6559558,0.33527446,-0.47509068,0.8973746,0.8261528,0.5682546,-1.3278018,-0.19046731,0.18441942,-0.3471998,-0.392358,0.18006922,-0.3361837,1.0850801,-0.53057593,0.0007793804,-0.6269492,1.0134493,-0.43830317,0.6211502,0.3839445,0.8170581,0.062467754,-0.14444639,0.1385952,0.73797077,0.115272865,0.5458444,0.7393563,-0.010852804,-0.9629553,-0.5676558,0.3435623,0.92359644,-0.036554158,0.93886226,-0.3957218,-0.45632315,0.08787748,-0.68458194,-0.09130482,-0.05547752,-0.30863568,-0.0035764554,-0.063002855,-0.15758406,0.38663942,0.18157461,0.17896767,1.1804866,-0.2666225,0.02089536
0.1394049,-0.34756187,0.15782012,-0.7080913,0.08204156,-0.094955854,0.0118793575,0.57625437,-0.43759283,0.49672064,-0.57072365,-0.3746172,0.470384,-0.8147782,-0.15521096,0.1979447,0.65445703,-0.41357478,-0.6119664,-0.040717557,-0.22079532,0.50933886,0.7511021,0.36615613,1.3196766,0.22129424,-0.2930524,0.37813187,-0.17106372,0.015795158,0.672822,1.4701183,0.47053337,0.99915946,0.23708728,-0.10769458,-0.5574449,0.039458804,-0.4759339,0.80713123,-0.24881747,-0.07766501,-0.62295246,-0.67419714,-0.31600958,-0.27055222,0.32428017,-0.10707092,0.3599616,0.48796073,0.21349463,1.0846,-0.34659243,0.5442942,-0.49176225,0.075855054,0.27821252,-0.3366758,-0.4299457,-0.033242747,-0.30502152,-0.57696724,-0.19849114,0.9088739,-0.16340038,0.631801,-0.15397824,0.67007834,-0.13494475,-0.16904011,-0.24483034,-0.28295627,0.5854837,0.28825596,0.40421432,0.30722997,-0.29073885,-0.23359747,-0.08095214,0.19102041,-0.71809226,1.080347,-0.58897346,0.3123279,0.263254,0.18776889,0.6796673,-0.78493816,-0.92825615,0.2390125,0.44453385,-0.41530252,-0.2628471,0.024628414,0.25545338,-0.15004626,-0.15320185,0.04570507,-0.38090554,-0.39786267
0.049030107,0.09660424,0.023560746,-0.5703181,-0.07484568,-0.47688523,0.5355349,-0.60145223,-0.089782506,-0.35608608,0.009066619,-0.28099376,0.041752122,-0.3999334,-1.3759985,-0.22685191,1.251688,-0.26056838,-0.26632524,-0.1320804,0.22494139,-0.03372928,0.91708004,0.38980278,1.3870279,0.5149466,0.0090705445,0.15510686,0.23367147,-1.1104282,0.6888488,1.2327646,-0.062324017,0.91966677,-0.12534808,0.053265613,0.1828463,-0.77028126,0.20626736,0.4981566,0.03994063,0.18462428,-0.46449777,-1.3678337,-0.45290512,-0.14137907,0.6144238,-0.8063809,0.34094882,0.18872921,-0.37025377,0.89720964,1.0368763,0.2868275,-1.16401,0.0038266678,0.3115464,0.02624326,-0.33434272,0.3961946,-0.18282942,0.9328288,-0.045725185,-0.1592806,-0.5810341,0.9220107,-0.46285263,0.311735,0.35231647,0.7235751,-0.4650378,-0.49345356,-0.22670276,0.8842627,0.011638343,0.3459015,0.40543988,0.068971545,-0.45366526,-0.7253611,0.20469882,0.8677506,0.16426653,0.8930427,-0.40605316,-0.33425298,0.08173946,-0.6946515,-0.062584005,-0.32209042,-0.2756384,0.010166858,-0.17499739,-0.25689578,0.44241974,-0.13791807,-0.020171355,0.7718908,-0.63561743,0.35138118
0.021548552,0.39211848,-0.082983024,-0.40111846,0.1315155,-0.5715917,0.46957114,-0.59066296,0.31827483,-0.5128229,-0.19859838,0.03670038,-0.32337168,-0.57002294,-1.4031266,0.18331294,1.2885975,-0.20878904,-0.48399138,-0.24691163,-0.10320817,0.079292394,0.77780104,0.37852934,1.2409731,0.47439405,-0.093529195,0.11575563,0.11822662,-0.6297923,1.1134098,1.0470943,-0.48066548,1.0422922,0.28360745,0.3746213,0.25052828,-1.0672468,0.26975778,0.7311026,-0.3016095,0.8186794,-0.422396,-1.3359834,-0.0770359,-0.3598556,0.45229807,-0.69320995,0.47291797,0.30023512,-0.4413279,0.86127377,0.7346194,0.3376996,-1.4906842,-0.3941244,0.461923,-0.17687136,-0.5424849,0.32757333,-0.3506571,0.8764423,-0.48349857,-0.024093697,-0.69404,1.0380142,-0.38067394,0.56194454,0.30285686,0.7582669,-0.26217702,-0.52563274,0.06785657,0.76524466,-0.07325097,0.32481724,0.47456923,0.047894735,-0.71324956,-0.4469233,0.29456466,0.7831978,0.1107848,0.8024855,-0.32999328,-0.45768642,0.17293191,-0.9310742,0.30770618,-0.07531722,-0.08735408,0.09636542,-0.1405146,0.008444802,0.37922248,0.08414127,-0.081787206,1.263345,-0.16219841,0.28371876
-0.091266654,-0.04036657,-0.14692715,-0.09711289,-0.29921752,0.788965,0.2299877,0.58240396,-1.186849,0.20695554,0.030538334,-0.1887977,0.08155003,-1.3361354,-0.41604385,-0.2591994,0.26089367,-0.73931956,-0.35683113,0.32263455,0.07444623,0.5749259,0.30145544,0.5103884,1.345215,0.43904668,-0.08325422,-0.12688842,-0.2577949,-0.54481095,0.20352228,0.90213186,-0.21389486,1.0150231,1.0110713,-0.03325593,-0.74230045,-0.07057114,-0.3556348,0.22204034,0.30068743,0.078280784,-0.5506303,0.19088887,-0.46173313,0.025873277,1.3981566,0.07872737,1.0388534,0.4838332,-0.10019932,0.5059337,-0.31684163,-0.17802764,-1.0885131,0.122755654,0.5234759,-0.49042258,-0.14487064,0.5160015,0.25048763,0.31769714,-0.47292548,0.7338507,-0.19966346,0.7925173,-0.5821982,0.51382095,0.18443899,0.69468796,-0.37748963,-0.8848964,-0.080733635,0.02925261,0.31155363,1.0632665,-1.0004288,-0.28316647,-0.05569829,0.53466964,-0.597558,0.06337324,-0.14137891,0.109784156,0.42125845,0.40597156,-0.15204202,-0.63767624,-0.1880449,0.62750864,0.20862928,0.12829246,-0.11395175,-0.32836103,0.22564968,-0.10670051,0.9213455,-0.8202492,-0.001603973,-0.4714589
-0.31551468,0.35794768,0.01876018,0.05326189,0.42574766,0.12692189,0.108390875,0.028803915,-0.43343037,0.556976,-0.56933093,-0.3880997,0.32004833,-0.55636525,0.32646587,-0.30532178,0.50062656,-0.5280949,-0.35042208,1.2107812,0.5424219,0.44697547,0.40971023,-0.18446632,1.4709066,1.196541,-1.4142767,0.38351455,0.029010385,-0.43343163,-0.24581695,1.3433135,-0.1977919,0.6915424,-0.60904545,0.069359995,-0.49590483,-0.24875839,-0.55089664,0.81498885,0.45358482,0.134578,0.44265282,-1.0270078,0.23705767,0.19223793,0.3091705,-0.15126081,0.03179336,0.09828247,-0.057449017,0.84191024,0.12670705,-0.15874946,-0.99585223,0.36751753,-0.031691607,0.22976342,-0.1012525,-0.06259379,-0.91138256,-0.07330342,0.23046654,-0.036182377,-0.03368516,0.3629345,0.0011400947,0.6736555,-0.22601731,0.50904256,-0.11857924,-0.47443622,0.7475011,0.5385732,0.68307936,0.56287986,-0.25434607,-0.59724474,-0.24685003,0.06559709,-1.4459189,0.36852744,0.066066146,0.39087537,-0.5428488,1.0198783,0.155907,-0.604476,-0.717783,-0.24945493,0.051377006,-0.6679261,0.69282365,0.6670341,0.019679625,1.3323202,-0.6590818,-0.16066298,-0.6334976,-0.3249177
-0.5336881,-0.085913256,0.20311548,-0.356221,-0.29241422,0.4407858,0.5100461,0.42877164,-0.632709,0.56457394,-0.31961593,-0.04729056,0.64472634,-0.8398821,-0.34113792,0.2774975,0.67038906,-0.85373276,0.4177303,0.3004162,0.5063072,0.606307,0.5203598,-0.0470287,0.8040701,0.15891406,-0.5871416,-0.12815773,0.037364945,-0.50312483,0.39404196,1.6251963,-0.2606037,1.0114342,0.98689306,0.1809924,-0.47571412,-0.30920732,-0.7913137,0.6890592,0.17363425,0.44438267,-0.479419,-0.26148602,0.26769975,-0.7051902,0.12836814,0.17201376,0.8473732,0.3451183,-0.2598378,0.8913798,-0.08431534,0.21334472,-0.37832403,-0.15346509,0.43890426,-0.45673987,-0.37477294,-0.12915641,0.25517705,0.19986054,-0.4661051,-0.3057218,-0.5674387,1.1105136,-0.4972949,1.1183115,-0.43020526,0.14047262,-0.49841842,-0.3424162,0.62245667,0.024407698,0.6033918,0.4531469,-0.38063225,0.4007499,-0.71591777,-0.55654305,-0.68311244,0.4117859,-0.78420836,0.60090786,-0.019583846,-0.036389492,0.07854744,-0.10632333,-0.19347812,0.26681605,0.056451056,0.055430852,-0.21820667,-0.14761522,0.5166996,0.75616217,0.52758867,-0.61884737,-0.2520538,-0.3948489
