dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
0.021035803,-0.053157024,-0.07854221,0.056675784,-0.23829436,-0.059356444,-0.6815238,0.35311928,0.57195807,-0.24997716,-0.73509127,0.27456143,-0.73539436,-0.06873399,-0.2296785,-0.6496669,0.95510817,0.21504287,-0.10961386,-0.31722656,0.20907629,1.2051314,0.36530167,0.17388946,0.4034182,0.6578777,-0.5308983,0.63349754,-0.9184289,-0.5600826,0.88877887,1.0071157,-0.19422458,-0.13259181,-0.51968026,1.063724,-0.56060153,-0.47609478,-1.0381402,0.30819455,0.8610129,1.2189952,-0.005049644,-1.7438145,-0.45253143,-0.006798946,0.063414,0.43603358,0.1551581,0.19908695,-0.27654502,-0.05608434,0.85749924,-0.23214018,-0.17931649,0.63776726,0.016186617,0.07333669,-0.40872428,-0.713516,-0.052318737,-0.11090436,-0.26097736,0.3774772,-0.03215417,-0.030746436,-0.32479176,0.9812123,-1.1031146,0.2249244,-0.7567756,-0.63557756,-0.058321647,-0.2178915,0.34685424,0.77373034,0.9804516,0.052999433,0.631247,-0.13491105,-0.100505434,0.06503304,-0.38499382,-0.045800116,0.43077257,1.3483013,0.14563902,-1.0463144,0.34263226,0.4316356,0.16210549,-0.72827256,-0.17735371,0.73586273,0.26758343,-0.5772862,-0.32900646,0.061877124,-0.05857473,1.1592133
-0.13267937,0.25785482,-0.18841378,-0.61380976,-0.019725908,-0.29545912,0.49187487,-0.2828074,-0.06875407,1.2840284,0.051784866,1.0127724,-0.040785637,-0.5298263,-0.6473616,-1.1523228,0.9317554,1.1120093,-0.42137805,-0.5577322,-0.57297456,1.0276129,-0.16609706,-0.04678509,-0.3639551,0.71408397,-0.55630857,0.16605937,-0.7351587,-0.9596441,-0.3561823,0.45786786,-0.8725814,-0.32184196,-0.9160396,0.5553362,-0.2511217,-0.71987593,-0.84285766,0.4752457,0.7590567,0.12763438,0.37984875,-0.19547778,0.25077745,-0.25869188,1.206659,0.01154277,-0.5848709,0.4167052,0.33306056,0.104428634,0.8277614,0.008234928,0.48271364,0.8381222,-0.32178488,-0.5113314,-0.33005318,-0.16738056,0.16833638,0.4410665,-1.0393829,0.26127383,-0.20103179,0.6597931,-0.7464105,0.23050804,0.50739133,0.402137,-0.2832028,-0.9611482,0.23939914,-0.66363704,-0.16109931,0.5224996,-0.11975276,0.17542286,0.19417912,0.43881935,-0.53511846,0.08915028,-1.2469391,-0.022904856,0.26096284,0.75575405,-0.30159897,-1.3480378,-0.7959777,-0.32936296,-0.08711825,0.15468119,-0.18405984,0.040468015,0.5193233,-0.56066096,-0.3426097,0.48744848,0.22468035,0.43378666
-0.0059886137,-0.12839805,0.38416255,0.07022851,0.13976872,-0.29744318,-0.14205095,-0.22118382,-0.22189513,-0.23189527,-0.2502167,0.32041347,0.56820107,-0.3379764,-0.24657528,-0.1246266,0.23080377,-0.17281641,-0.5663744,0.6673487,-0.88037086,-0.23636153,0.40800992,-0.16690949,0.15760456,1.2830688,0.48409632,0.7009359,0.04982722,-0.12040851,0.3035573,0.42879725,0.15905607,1.0548095,-0.19944508,0.23746328,-0.8160738,-0.8538579,-0.022683473,0.1329921,0.7542114,0.23353319,-0.05883918,-0.98999316,0.58636713,-0.3538297,0.1863694,-1.0965261,0.25964433,-0.6006719,0.050266635,0.8104306,0.7679093,-0.69656646,0.61680484,0.14226577,0.28826833,0.0068824184,-0.23513415,-0.8052217,-0.70619375,1.0367992,0.24083132,1.0700133,0.43312243,0.71694595,0.68136793,1.1642852,0.40946585,0.93459845,-1.1404493,-1.0154744,-0.23763971,-0.484712,-0.53850013,1.0543923,-0.58989435,0.40541682,-0.80985665,-0.5425711,0.264877,0.124142736,-1.3786389,-0.4484112,0.7107099,1.6244781,-0.17957467,-0.12860142,0.19183278,0.013055606,0.0021432717,0.057392623,-0.95533705,1.2034892,0.20228586,0.14373703,0.2649256,0.070378296,-0.23105744,0.14737909
0.32056507,0.39343306,-0.31708273,0.38649964,0.2543121,-0.5693522,-0.21483447,0.48156545,0.44421023,0.21881597,-0.6020962,-0.016671078,-0.78848755,-0.4895791,-0.39358425,-0.813935,0.5158314,0.8883885,0.06755267,-0.48115686,-0.16728926,0.77627337,-0.096151344,-0.01749861,0.37105107,0.59737635,-0.086107306,0.96858525,-0.5451592,-0.5056236,0.30097038,1.4905703,-0.09553929,-0.018672075,-0.8347424,0.3545782,-0.8320389,-0.47304747,-0.94427603,0.4200149,0.31348798,0.59089947,0.048572943,-1.6613007,-0.29832208,-0.5791959,-0.058782637,-0.10696424,0.17092468,0.25924036,0.57906854,0.67536426,0.65353656,0.37571305,-0.3550173,0.22014338,-0.57263166,-0.061638325,0.120463796,-0.26244244,-0.72010195,0.0023863513,-0.8089032,-0.01260354,-0.16587651,0.12207279,-0.8414409,0.7060358,0.02233137,0.15989777,-0.85881263,-0.9836389,0.00527517,-0.06734964,0.55876374,0.6967914,0.480009,0.81986403,0.06744249,0.30600628,-0.967544,0.17661373,-0.26357618,0.051564388,0.110476226,0.5086762,-1.0199865,-0.3645287,-0.27765,0.846542,0.078749165,-0.11275813,-0.9726523,1.605782,0.012056084,-0.75223064,-1.076591,0.25751406,0.2224744,0.17323561
-0.2664829,0.14277509,0.4756478,-0.09822509,-0.47288373,-0.11296244,-0.41930676,-0.30896297,0.08293171,-0.123946115,-0.7152903,-0.33253917,-0.3763879,0.32302034,-0.8418529,-0.45847213,0.24767844,0.08645803,-0.63278896,-0.6954872,-0.0747691,0.23612311,0.23529832,-0.22740069,0.098747626,0.8227031,0.12035575,0.72466546,-0.01495246,-0.6349969,0.42826882,1.1482545,-0.29691803,0.95962155,-0.20906387,0.44449997,-0.3363045,-0.5031248,-0.5200776,0.24165626,1.021205,0.8736454,-0.21067265,-1.047474,-0.86592317,-0.9632706,0.46774906,0.320135,-0.037040684,-0.3372098,0.13909936,0.2997016,0.6602547,0.32719466,-0.18249442,0.4143284,0.35734922,-0.46252143,-0.25143057,0.27739903,-0.74636555,0.3963829,-0.35947096,0.40488002,-0.4083282,0.6983037,-0.95948356,0.25649878,-0.7763833,-0.0956021,-0.5313206,-0.55236834,0.4727071,0.08073636,0.52361274,0.3794288,0.102309816,0.30796015,0.021901652,0.3784389,-0.07812147,0.006450615,-0.058125824,-0.33816296,-0.16384062,0.6049007,0.14277433,-1.0436224,0.060566276,0.42957547,-0.35626298,-0.4059007,0.36120766,0.9342999,0.8281975,-0.21813111,-0.72208154,0.11607866,0.2586889,0.29335597
0.46762562,0.013247778,-0.24677253,0.625209,0.17222805,-0.6274281,-0.047083784,0.9659488,0.7037804,-1.0801235,-0.8769935,-0.052265074,-0.089503646,-0.6219162,-0.040716078,-0.49443638,0.8114865,-0.6019119,0.19626151,0.14343289,0.24609742,-0.07524826,0.460988,-0.11456546,0.19241104,1.4531287,-0.4295643,0.8149425,-0.683439,-0.50439084,0.387994,0.49528682,0.015326183,0.76180553,0.32391572,0.5138471,-0.08108999,0.01074613,-1.4196769,0.12733886,0.8511532,0.33492276,-0.07816982,-1.1054888,-0.49949852,-0.4246065,0.44491732,-0.0222088,0.8387371,-0.0025522907,0.16028647,0.13681048,1.0878693,0.12001139,-0.023874804,-0.8518661,0.1917283,-0.734217,-0.1954251,0.1580356,-0.47743726,-0.2206942,-0.25581986,0.06395897,-0.50483865,0.0024765239,-0.053413067,0.69618607,-0.21412991,1.3221754,-1.1419861,-1.2556353,-0.2363454,0.010142203,0.2753593,0.9503992,0.09371473,-0.6002427,0.039105084,0.018972203,-0.92258495,-0.20050786,0.117473796,0.11808651,-0.007954436,0.33840597,-0.07786298,-0.43721825,0.7992078,-0.0018162136,-0.11934115,-0.53287077,-0.73584765,0.25569698,0.093397364,-0.2394555,-0.31175014,-0.13947457,-0.22469327,0.09919231
1.345122,-0.5422827,0.046292845,0.026652653,0.07335628,-0.031035317,0.5958301,-0.62715334,0.5561511,0.33013496,0.6028549,-0.45742232,-0.536109,0.35943383,-0.70464474,-0.31584233,1.1472981,-0.17860687,-0.6389002,-0.3753555,-0.38617697,0.22605939,0.8440662,-0.58313197,0.45015365,1.3294529,-0.43288454,-0.016805869,-0.94300103,-0.072435096,0.22496113,1.207881,-0.3871519,1.0267473,-0.79374886,0.16708173,-0.89819247,0.08149072,-0.6164642,0.16884051,0.5929685,1.3860432,0.18388861,-0.8052995,-0.35632107,0.44175863,0.42322072,0.24180269,-0.43433788,0.7351702,0.114399835,0.5592867,1.3197639,1.098202,0.5194193,-0.9078921,0.016721232,0.17915064,0.19388975,-0.6884601,-0.38701084,-0.29755184,-0.6513127,-0.24763015,-1.0091716,0.64406824,0.49853736,0.7687971,0.06730787,0.57889175,-0.6657794,-0.13394155,-0.0047655697,-0.09347786,0.015450264,1.8731437,0.30382553,0.5428659,0.38976586,-0.4357953,0.78887695,-0.22589841,-0.30575934,-0.9092361,0.37562525,1.6743336,-0.49900773,-1.3663301,-0.47478056,0.2924475,0.4221885,-0.52007294,-0.76734996,0.505482,0.62820554,-0.6597301,-0.4236632,-0.12722497,0.26572794,-0.27532935
0.96747494,1.9257917,-1.4298359,-0.11481952,-0.5419643,0.13658226,-1.8480532,2.044892,-0.6787096,1.9950322,-0.5863955,0.4948371,1.0150318,-1.2524772,-0.5325693,-1.1372137,1.5181401,2.2362068,-0.69910353,-1.7448132,1.4436418,2.236068,1.5228841,-0.9276041,1.377521,2.090037,-0.9899983,0.6381252,0.13293074,-1.2618829,-0.88528347,-0.083437964,-1.811694,0.2558371,-2.1268673,-0.8140921,-1.4250655,0.5431733,-0.936575,-0.25290018,0.57873636,1.1605595,0.6534847,-1.0869356,0.3643034,-1.5418558,-0.12752084,0.46237308,0.10870173,1.2863472,1.7976309,0.46065417,1.3830521,0.32261458,-1.4164693,-1.1795344,-0.40852755,-0.3319946,-1.9612466,0.1389412,-0.64358217,0.1833196,-0.7989107,-0.4918948,-1.3660324,0.31671306,-1.1734521,0.82263803,1.471299,2.2430868,-0.4028189,-1.7643112,-0.2573579,-1.9431428,1.2177964,0.80380446,1.1430744,1.2333097,-0.110628806,1.4383059,-1.028143,-0.18387331,-1.0163419,-2.3307757,0.3557958,-0.33779243,0.24290553,0.50223047,0.017534507,0.16113953,-1.4162189,-1.9322776,-1.7389381,2.0950017,1.3609858,0.69406396,-1.2371523,1.0165812,-0.01366597,0.31143546
0.5028648,-0.18812388,-0.13532099,-0.5723058,-0.021517482,-0.548985,-0.13381,-0.7270199,0.73895687,0.91976553,-1.2967391,-0.50113726,-0.36625394,-0.15740342,-1.2422003,-0.9871746,0.029632688,-0.018173605,-0.19798908,-0.36528113,-0.41229048,0.6471814,0.7195324,0.5245768,-0.33893728,-0.40717408,-0.4755571,-0.09182611,-0.2351507,-0.041497935,-0.2667427,0.5680399,0.112253495,0.76324826,-0.2998269,0.74866974,-1.0928781,-0.55078316,-1.2025992,0.37640068,1.3032293,-0.63389856,0.08954638,-1.161572,0.0495642,-1.0524175,1.0656178,-0.40294227,0.1164688,0.12609714,-0.7254918,0.6426452,0.78399146,-0.20857105,-0.40072906,0.16215453,0.21533448,-0.5201084,-0.52356744,0.40552416,-0.17302339,0.06263657,0.25386676,0.0041505555,-0.62744206,0.26420897,0.24096733,1.034059,0.33827546,1.348967,-0.5329064,-0.5244542,-0.2439805,0.5405226,-0.26911116,0.5090829,0.009149846,-0.09815458,-0.49358594,0.007025611,-0.6317745,0.13672535,-0.29010022,0.15225224,1.2135959,0.4464258,-0.7633977,-1.2357284,0.011043434,0.049709037,-0.24734022,-0.5854518,-0.42437595,0.5581912,0.4842364,-0.32180014,-0.6798828,-0.022613168,-0.05494546,-0.30933455
0.89692926,0.05489385,-0.7319105,0.54013836,0.748576,-0.0075651743,-0.1186381,-0.88480806,0.12699264,0.26987818,-0.7847142,-1.119301,-0.12934615,-0.0313845,-0.06608469,-0.47112334,0.08312574,0.11706308,-0.749137,0.61616194,-0.9322684,0.60897654,0.7578434,-0.6147728,0.35240334,0.9076105,0.5452759,0.31935236,-0.23248073,-0.45561007,0.990886,1.3296711,0.26305443,0.83823377,0.09795043,0.013261878,-0.8049844,-0.096123025,-1.6384113,-0.30536187,0.66885054,0.29510668,1.2371339,-0.92049617,0.74998933,-0.8046856,1.5285617,-0.7039025,0.62678,0.56463355,-1.463697,0.67042786,0.8162745,-0.22092511,0.19655459,-1.2515538,0.5768814,-0.7533871,0.6998317,-0.30085108,0.8525138,-0.05634332,-0.28491843,0.8890028,-0.74527943,0.4227174,-0.75387585,0.8422709,-0.1203477,0.48898575,-1.8511585,-0.97322315,0.8441737,0.56784236,-0.57116467,-0.36730808,-0.4690832,-0.24528834,-0.019879939,-1.0881706,0.24324766,0.3132817,0.31565404,0.3272847,0.83810306,0.5962678,0.86591953,-0.9965781,0.26706654,-0.5042365,0.09272212,1.2168953,0.43542734,0.34602085,0.08082039,-0.7340198,0.24767381,-0.2832197,-0.8119738,-0.5958448
