dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
0.20794663,-0.13698736,0.03910205,-0.1093505,0.59743214,0.19944294,1.0366734,0.15993278,-0.050934352,0.65747666,-0.4993605,-0.27452752,-0.17504776,-0.79547715,-0.2577703,-0.37773046,1.2657651,-0.04840785,-0.1635828,-0.34346527,-0.018548768,0.81243473,0.9889427,-0.08872333,0.65779716,0.26700345,-0.29021415,-0.19629192,0.3100605,-0.40894422,0.74021876,1.0788174,0.62231463,0.15933436,0.4726981,0.16710639,-0.7342292,-0.13405041,-0.61906266,0.7164192,-0.11152342,0.46823984,-0.15722108,-0.6630564,0.12770455,0.43588266,0.99587214,0.5887127,0.5060524,0.4143661,-0.7815287,0.6621022,-0.17263108,0.3580094,-0.2145071,-0.590339,0.5871971,0.5800147,-1.3414519,0.3658356,-0.7140561,0.34297624,0.34480175,0.7851226,-0.57923436,0.695792,-0.5750036,0.105403,-0.79820347,0.7543018,0.563242,-0.8316482,0.1648306,1.1014357,0.3489531,0.61677206,-1.7682375,-0.39203855,0.6324898,-0.5623768,-0.053950015,0.7865721,-1.0735555,0.19859289,0.6631097,0.113669716,0.56892294,-0.016840776,-0.0852292,0.43204615,0.4134438,-0.32152885,0.1797894,1.0411563,0.7756337,0.08364954,0.026626036,0.18375924,-0.37939566,-0.7926471
-0.8289312,-0.046724033,0.2237266,-0.9073956,0.03637247,-0.15096709,0.31693688,-0.15546282,-0.87936187,0.5156395,0.024131276,-0.04944078,0.5730049,-1.0949417,0.10488207,1.0582082,0.992941,-0.026622115,0.12893172,-0.4362761,-0.48963004,-0.002484711,1.0969005,0.56191105,0.80268955,0.9762562,-0.07554291,0.307192,-0.20109223,-0.2467882,0.59801245,1.098962,0.54497313,0.16071898,-0.033687796,-0.15247688,-1.1235962,-0.056757823,-0.28917238,0.39748532,-0.0428258,0.7254896,-0.48615593,-0.468319,-0.22122249,0.8724371,0.7859204,-0.19717278,-0.38393247,1.0230426,0.116551064,-0.026722254,-0.082956076,0.5859457,-1.4841946,-0.29243195,0.5704811,0.11021356,-0.61028326,-0.15309449,-0.41862223,0.9135355,-0.5102813,0.56011045,-0.20542105,-0.31277853,-0.19982795,0.8930466,-0.97315335,0.009198627,0.24177778,-0.7030395,0.37903258,0.04458868,-0.8366123,1.3633586,-0.43936884,-0.06480707,0.23137197,0.028716866,-0.86446327,0.6598374,-1.6291828,-0.60834503,0.23280042,0.2746112,1.1207348,-0.1045184,-0.35231853,0.2367584,-0.58121234,-0.19980194,-0.5549048,0.27850977,0.9220721,0.26410076,-0.24910976,0.56343365,0.008138208,-0.0843709
-0.09840215,-0.0036209482,0.24810931,0.5704341,-0.005852991,0.17588563,0.75517094,-0.078528315,-0.92676,0.7340588,0.6229497,0.2382421,-0.1882563,-1.1962066,-0.3702416,-0.3553434,1.1228005,0.2943122,-0.4099916,0.8757414,-0.17048925,0.059304584,0.7027931,0.06544153,0.89800245,0.8288342,-0.11884653,0.91577846,-1.1037116,-0.8489487,0.7007444,1.1290257,0.5544551,0.9036434,-0.10557996,0.08113702,-0.4240979,0.2597541,0.7161921,-0.10944705,-0.62538624,0.769924,0.15650816,-0.8444548,-0.20352347,1.000115,0.30101654,0.41994444,-0.43516105,0.27766156,-0.06768854,-0.42587355,0.42943197,-0.9314391,-1.5298281,-0.79245955,0.36947328,-0.07675599,-0.2372617,0.87479854,-0.11581278,-0.2709442,-0.0062829605,1.1241571,-0.15494533,0.6933732,-0.53917176,0.6409339,-0.36094588,1.3140779,-0.12741357,-0.6183225,-0.36968368,-0.8933088,-0.14009854,1.6412785,0.43825403,0.5294566,1.2083853,0.7969708,-1.0506803,-0.2762927,-0.17573686,-0.36520636,-0.12011305,0.82254815,0.58368653,0.18944079,0.4640122,-0.2071066,-0.61202025,0.35180023,-0.76541597,0.9801754,0.6078012,0.69229865,-0.5765075,0.03923178,-0.14727427,-0.43998834
0.72621673,-0.3041022,-0.17788243,0.29721528,0.17643403,0.7868282,-0.3641125,0.12597603,-1.1068547,0.05173447,0.38747504,-0.054518785,0.9438776,-0.5730936,0.18076268,-1.1917969,0.49860922,0.27589265,0.22694792,-0.17545187,0.9004887,0.060259305,0.7588918,1.1361045,1.5238981,0.84936565,-0.030167125,0.42493263,-0.75941205,-0.4766946,0.2156,1.0918957,-1.5724792,-0.1149213,-0.6286657,0.02114006,-1.2072364,-0.88723695,0.21171425,1.1156204,0.5996055,-0.0875183,0.5707154,-1.2198042,0.5082513,-0.06498396,1.7063576,-0.7480097,0.2648255,0.104532264,-0.72634006,-0.34742096,1.2625998,-0.2685489,0.20507151,-0.8465587,0.9234737,-0.4199347,-0.38965565,-0.18453476,-0.7209127,0.8944588,0.2512851,0.50957954,0.22166112,-0.4924059,0.39591596,0.083376564,0.035836034,0.63520205,0.90999675,-0.8763598,-0.89045584,-2.0918298,0.39442754,0.6297176,-0.5318528,-0.8380838,0.33424082,-0.57944393,-0.1100437,1.3167982,-0.49943954,0.09506192,-0.00016359697,0.6208824,0.904627,0.2615908,0.47256756,-0.83093977,-0.8560906,-0.09716795,0.11112764,0.03129782,0.90025413,0.41520008,0.0050464543,1.0448507,-0.4540319,-0.45368156
-0.29640117,0.080550455,-0.32535464,0.10096305,0.08017841,0.020521408,0.13261107,-0.7070845,-0.4218715,0.6935042,0.20681451,0.9719182,-0.9454806,-0.8608177,-1.203735,-0.10236098,1.4012074,-0.08166283,-0.05403251,-0.49450997,-0.8291676,1.2114321,0.35291094,0.6868637,0.50312054,0.39001122,-0.36610818,0.73349535,-0.62253475,-0.28589687,0.44838306,0.46962515,-0.19027004,0.93269336,-0.96456224,-0.12485067,-0.855212,-0.6369641,0.31481943,-0.56851524,0.61252826,0.34889194,-0.23429911,-0.9818225,-0.1522249,0.62675536,0.6383242,-0.20377699,-0.7229191,0.2366241,-0.16129781,0.33240822,-0.008254838,-0.51990414,-0.2986111,-0.022659468,-0.4992199,0.12791923,0.6130003,0.8325409,-0.026648743,0.4093997,-0.033207987,0.8277721,0.065357074,0.48719954,0.550233,0.38475063,0.8240194,1.3476605,0.24585536,-0.5778349,-0.875172,-0.34512523,0.377281,0.6158866,1.3783385,-0.9251524,0.069178484,-0.43980438,-0.12240872,0.083589226,-0.95225877,0.21614815,0.67081803,0.4501635,-0.07620561,-0.5958169,-0.48686346,-1.1809262,-0.82955337,0.183489,0.14033744,-0.18682447,0.22964573,-0.046575803,-0.34426823,0.06682873,0.043379195,0.19367895
0.62006074,-0.45727563,-0.034277502,0.41812232,-0.2115351,-0.12077659,0.91227055,-0.08803632,-1.014009,0.4304596,-0.11821098,0.083283946,-0.6008228,-0.80984026,-0.09616875,0.32881,0.5804935,-0.47570816,-0.23534384,-0.14490032,0.6139793,1.2099379,0.329881,-0.25946727,0.8893399,0.47936645,-0.59681934,1.0724623,-0.57602435,-0.022840751,0.105035774,0.6862302,0.04022795,0.7957906,0.032984205,-0.026107725,-0.9703644,-0.8800413,0.2511096,0.044690188,0.42022532,0.33840528,0.045409653,-0.81725246,-0.062504835,0.792713,0.19805634,-0.016219128,-0.25457212,0.4493203,-0.39232332,0.48249105,-0.40364674,-0.5453805,-0.82402784,-0.14892064,-0.31283602,-0.21779488,-0.3638186,0.83632994,0.7789212,0.45157775,0.5443509,1.073661,0.29900667,0.7899909,0.24787652,0.4997587,0.27537626,0.66617495,0.52637523,-0.98895067,-0.7212647,0.10615688,0.6341182,1.1579449,-0.10762368,-0.2109414,0.6918752,0.59472334,-0.7154063,0.38622385,-0.9104606,-0.20252074,1.0688547,0.42110783,0.8139591,-0.5536914,-0.24318905,-0.4673804,-0.723859,0.3060369,-0.707339,0.7086319,0.11751145,0.17417346,0.5330089,0.333052,-0.05179733,-0.30239528
0.45696875,0.43708202,0.31607255,-0.4109128,0.33544385,0.48871914,0.9706436,1.1257818,-0.8746394,0.8219004,-0.75633955,0.55854124,-1.0261197,-0.5162287,0.08298419,-0.21488853,0.92226636,0.10328162,-0.5000132,-0.511232,0.16986592,0.633534,0.46367735,-0.3197145,0.742485,-0.19717441,-0.70247257,0.9042568,-0.3328539,-0.49032193,0.4364313,0.7660457,0.17115544,0.03450163,0.057183426,-0.1127261,-0.38256502,-0.12698366,0.6630609,0.7313953,0.23655584,0.6394739,0.718192,-0.7513181,0.07805225,0.0962888,0.82783484,0.58154166,-0.28768712,-0.30567282,-0.58913916,0.9515882,0.17434245,-0.33770066,-0.25868538,-0.7472007,-0.3454686,0.24566467,-0.060705584,0.49792022,0.10436783,-0.27592206,-0.06251541,0.96233916,0.6105054,0.76862246,-0.73590356,1.1771781,-0.90620196,1.0193509,0.26094234,-0.30492473,-0.5749787,0.17321281,0.047969278,0.689161,-0.69625664,0.59174144,0.5501059,0.1611666,-0.6326256,-0.3080625,-1.1644017,-0.14371838,1.402421,1.4382885,-0.43464,-0.08288038,-0.9698987,-0.19707198,-0.4749067,0.23055983,-0.33390173,1.209582,0.63834816,0.8637812,0.22544864,0.5190911,-0.6781121,0.2190008
0.83793616,1.969608,0.63622916,0.99440974,0.05372678,0.9499131,1.2573502,-0.75361526,-0.81890327,1.766293,-0.7347649,-1.7512715,-1.715991,-0.78206205,-1.3091856,0.060194097,1.4913995,0.30155393,-0.9438641,-0.49084935,0.39595038,1.210158,0.051469285,0.0749294,1.4576737,1.844854,0.17567085,1.734125,-0.20489734,-0.16856131,0.5723164,1.6248353,0.9870581,-0.38561666,-0.24746221,0.97087204,-0.75109243,-1.2010384,1.7746454,0.49288157,-0.2540229,0.2626954,-1.4679894,-2.5097976,1.5991467,1.1609049,-0.8554926,1.0606117,-0.9569101,1.1202503,1.9629831,2.0652478,0.5030922,-1.682945,-0.911838,-2.0153077,0.16782293,0.53175235,-1.30756,-0.026186032,0.43622497,0.19113092,0.70556486,1.9359944,-0.5517112,2.6126049,1.1011097,0.80481523,-1.3259635,0.48119137,-0.42821074,0.3708327,-0.84809285,-1.6164575,-0.18486951,0.7666366,-0.6465117,0.7434893,1.1018555,-0.091434225,-1.5533212,1.748414,-1.3954966,-0.8588864,1.6923536,1.4579458,-0.41183606,-1.3251083,1.0724567,0.62805456,-0.893026,0.55583924,-0.72142947,-0.4400005,-0.015690612,1.7728955,-0.20139322,-0.0746539,-0.6219731,-0.27793267
0.59157544,-0.66804516,1.2689409,0.3996265,0.13213098,-0.019013774,0.14054595,0.31996864,-0.2938647,0.53805405,0.28244558,-0.23096155,-1.1692666,-0.96793777,-0.36333138,-0.87011015,0.7630099,0.2920101,-0.3409474,0.16889913,-0.7269521,0.65565807,1.1367433,0.54429007,0.7648688,0.8799328,-0.36175823,-0.15558803,-0.9478433,0.07811934,0.34261745,0.46609086,-0.42012066,0.3065062,-0.18281527,-0.9518083,-0.7003054,0.28472584,0.49966908,-0.480736,0.7332361,0.7591132,0.7244486,-0.6818632,0.07294468,0.30734634,1.2768133,-0.5524258,0.20596857,-0.033618942,0.08491658,0.23025888,0.6550044,1.0697786,-0.4518983,0.95462394,-0.43919393,0.43911892,-0.49434936,0.75826854,-0.39630476,0.20152056,-0.10875476,1.1986834,0.42571977,0.6838537,-0.24937548,1.2955264,-0.3041096,0.5934635,-0.017431103,-0.7309422,0.3028174,0.09078874,0.51802325,0.8179478,0.666851,0.10169492,1.4026111,0.13683416,-0.8351053,-1.2885057,-1.0036116,-0.7754748,0.36887118,-0.046568178,0.7466956,-0.66455513,-0.7858647,0.19955632,-0.25789213,0.13668922,-0.6418446,0.4497764,0.43053582,0.11195247,-0.2540029,0.9309308,-0.70977575,-0.6027717
-0.252846,0.20914608,0.8386948,-0.70897716,0.08193923,0.54297394,-0.21789752,0.15911631,-0.1773302,0.53110164,0.23465408,-0.46696943,-0.4609923,-0.5271693,0.21160212,-0.34058627,0.6030205,-0.17636107,-0.036811043,-0.63650084,0.2563821,0.6711834,0.72516435,0.584811,0.74025357,0.53328335,-0.553388,0.3023401,-0.36916313,-0.5095192,0.61132115,1.3151957,0.14570814,0.23347652,0.07116052,0.5886748,-0.66775537,-0.107921496,0.29954842,0.8694345,0.116830885,0.5526018,-0.17731602,-1.1448501,0.22331597,-0.028391944,0.63233745,-0.24000348,0.35608593,1.0755907,0.06921984,0.7979624,0.48843876,0.31751975,-0.87359834,-0.48558134,0.6669137,0.5740383,-0.9979031,0.18186378,-0.59783727,0.008586385,0.29027247,0.00096271525,-0.33230188,-0.10871358,-0.43518436,0.46578762,-0.42043006,0.08173671,0.35422352,-0.4341703,-0.07316665,0.2356566,0.26951528,0.6507508,-0.78631747,-0.4372474,-0.01861635,0.34989348,-0.38440534,1.2319872,-0.6845903,0.086350545,0.60687,0.29368255,0.48903388,0.59174216,0.044670932,-0.29405597,-0.77612007,-0.7818096,-0.3110243,0.5880208,0.6670671,0.16386308,-0.14044896,1.162614,-0.11829476,0.5145645
