dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49,dim_50,dim_51,dim_52,dim_53,dim_54,dim_55,dim_56,dim_57,dim_58,dim_59,dim_60,dim_61,dim_62,dim_63,dim_64,dim_65,dim_66,dim_67,dim_68,dim_69,dim_70,dim_71,dim_72,dim_73,dim_74,dim_75,dim_76,dim_77,dim_78,dim_79,dim_80,dim_81,dim_82,dim_83,dim_84,dim_85,dim_86,dim_87,dim_88,dim_89,dim_90,dim_91,dim_92,dim_93,dim_94,dim_95,dim_96,dim_97,dim_98,dim_99
-0.38247606,-0.011722387,-1.7250533,-1.3494327,0.5702609,0.3918854,0.7197337,-0.10515234,-0.3021458,-0.37672973,-0.60029197,-1.5674943,0.6895811,-0.38370863,-1.0334536,-0.3211284,1.4257624,-0.43831512,-1.0686601,0.81083614,1.2910973,0.8669632,1.0760303,0.4036581,1.0088171,-0.2968889,-0.7241542,0.42420816,0.2764728,-0.5546463,0.06000383,1.0663514,-0.8024246,1.1641371,1.3735996,-1.2006682,-0.820192,-1.0201248,-0.33767155,0.80535585,0.27011418,-1.1797292,-1.2579807,1.2474681,-0.49080497,-0.13523364,2.5201294,0.46847317,1.0218103,0.55294174,-0.59733814,0.57251984,0.875857,0.17333189,-1.6337047,0.32614863,-0.7862487,-0.7762726,-0.96921915,0.38375235,-0.16756307,0.85761935,-1.878962,1.9627362,0.19773604,0.8537396,0.18852071,1.8656735,0.8020702,-0.6053074,-0.00906831,-0.3576234,-0.007399721,-1.6621009,0.22640392,1.3526363,0.9062241,0.83296925,-0.4572044,1.1280991,-0.5746944,0.23337997,-0.19390275,0.9469827,-0.062132716,1.2303848,0.17267817,-1.7807822,-0.7297502,-0.2408749,-0.9923701,-0.09583094,0.55861086,-0.043317627,0.575546,1.6066005,0.11439545,-0.041783106,-1.0884944,-0.64079946
0.55070287,-0.022761453,-0.7854961,-0.22452365,-0.02314189,-0.08947499,0.8706936,0.7829678,-0.4088852,0.023194738,0.11645165,-0.32205886,0.2627506,-0.7560467,-0.038332317,0.27755603,-0.0010233616,-0.39778438,-0.4751992,0.3828527,1.5953102,-0.096666664,0.33102974,-0.153733,1.3313314,0.43260932,-1.1833962,0.25989798,0.16620687,-0.7238539,0.47224545,1.135636,0.25675604,1.7842673,0.15857008,-0.06893025,-1.2320575,-1.3449566,0.0544267,-0.20112057,0.15522833,0.692697,0.21202663,-0.3210373,-0.6033306,-0.050387893,0.6516507,0.5812475,0.6703077,0.75843036,0.69838023,0.0024462738,0.50089985,0.36409193,-0.79557705,-0.5892887,0.41188544,-0.41582325,-0.29956603,0.7001183,-0.3435522,0.7193871,-0.17358236,-0.302244,-0.5030749,0.72622937,0.7052724,1.1529301,-0.14608398,1.0615001,-1.1352559,-0.13362642,0.1316056,0.108034745,0.18588324,0.49119535,-0.36388645,0.09687255,0.39419952,0.14845444,-0.3355449,0.48205817,-0.35618976,0.20223568,-0.62562114,-0.3765487,-0.8299457,-0.24934563,-0.9054069,-0.7161887,-0.5974784,0.22234456,0.26573223,0.10018168,0.3712763,1.0805168,0.9541768,0.32113758,-0.52848625,-0.62302744
0.08811151,1.1761582,-1.3705758,0.06621046,1.0377557,-0.51797044,-0.36248055,-1.2416764,-0.8917341,-0.58725643,-0.031975552,0.5735007,-0.3564361,0.5115928,-1.8972712,-0.83547956,0.50331,0.4056095,0.8250194,0.683341,0.5313927,1.7162298,0.22683156,-2.1575003,0.20591386,1.1161036,-0.32730466,-0.5772229,-0.4363992,-1.5844749,0.34926376,0.53964114,-1.7906033,0.20084228,0.30173454,0.21311831,0.045853406,-0.4727982,-0.64856744,0.8920349,1.1722296,0.04448159,-0.13420293,-1.2049222,1.5264187,-0.09751528,1.4337571,-0.15780182,0.7614748,0.75169706,0.1495432,-0.84496737,-0.013444786,-1.15873,-0.86191404,-0.11953971,0.07499813,-0.51166165,-0.5588198,1.0842402,2.1803744,0.16435696,-0.9729889,0.7514049,0.4136884,0.4682549,-0.17532039,2.1065762,0.7643854,0.31346622,-0.2597933,0.10712354,-0.4361005,0.31380406,-0.06200474,0.53248125,0.009347302,0.5084475,0.0879567,-0.9210013,-0.12474929,-0.8980658,-0.8285988,0.37162942,-0.3071004,-0.12219065,-0.35679764,-0.7051703,1.100571,0.1404546,-0.50139093,0.010174766,-0.040076047,-0.69378203,-0.51770675,1.7824457,0.3207705,0.3996626,-1.0625862,-0.18268007
-0.85393965,0.77610135,-0.88896954,-1.3613479,0.53387225,0.48090652,0.43837646,-0.043585926,-1.6018369,-0.17045072,0.3437842,-0.3658118,0.73104376,-0.17953281,-0.83661383,0.61110544,0.43353146,-0.3053836,-0.46996853,0.17548399,0.9204886,0.39140397,0.78310096,-0.7666302,1.6754264,-1.0540205,-1.5798321,1.1238894,1.1042081,-0.273891,0.53454715,1.7906982,-0.6608799,0.6574552,0.42015857,-0.22346069,-0.51840657,-0.66455823,-0.029012492,0.38500515,0.02311758,0.4732467,-0.5564488,-0.25807738,-0.922501,-0.33837312,0.88717175,1.131804,0.9597266,-0.23389392,-0.7169006,0.19899465,0.99593997,0.26530197,-1.0586475,-0.07244118,0.9382584,0.3461477,-0.57379985,-0.62747484,-1.1734662,0.9126762,-0.95488083,0.22908138,-0.40324748,1.4975146,-0.85393566,1.3406093,0.039297268,-0.8183917,-0.8639605,-1.2305439,0.7441133,-0.61234426,0.24180326,0.8954795,0.1430027,0.5062137,-0.26273966,-0.12837574,-1.0756497,0.19971424,0.21239306,1.0134925,-0.077734314,0.6583974,0.15976375,0.12167568,-0.65096045,0.71721613,0.26585695,0.24083245,0.73927855,0.2880378,0.60387146,1.1746279,0.6416592,0.09376571,-0.9087486,-0.2606342
-0.64738935,0.24211635,-0.8230621,-0.7772665,0.89224744,-0.20708683,0.4514961,0.22528835,-0.94917625,0.27998894,0.20613958,0.11270168,-0.22498728,-0.26723647,-0.9000409,-0.19355734,-0.1054235,-0.14531787,-0.093518645,0.21388808,0.48371524,0.6794191,0.5378926,-0.568234,0.44145906,-0.3342304,-0.24101226,0.10388184,-0.15881403,-0.8977123,-0.020220533,0.99731535,-0.6034957,0.3618084,0.2353868,-0.15669842,-0.6834589,-0.3273677,0.08542087,0.13245283,0.22335128,0.35932702,-0.21792854,-0.562628,0.64193404,-0.14571998,0.5682727,0.74624133,0.64252037,0.73754257,0.19896619,-0.25162137,0.8074999,0.36261067,-0.24234076,-0.0065081106,0.18764332,0.6329624,-0.66627604,0.34749252,0.17633311,0.14548461,-0.35766962,0.18786442,-0.59024274,0.74336785,-0.14675424,1.1936762,-0.59234005,-0.44698164,-0.6812862,-0.53998554,-0.2207468,-0.2360528,-0.39700058,0.7164715,-1.1171045,-0.19232385,0.10160001,0.66316986,-0.576388,-0.2102914,-1.0586122,0.059228085,0.3995559,0.3319937,-0.4024431,-0.86596924,-0.72543937,0.28235385,-0.34999108,0.04262309,0.7852053,0.07554876,0.05682318,0.8548498,-0.18702862,-0.5118926,-0.7498971,-0.5586652
-1.0129558,0.083502136,-1.2539326,0.16332819,-0.91364443,0.41587526,1.4132328,-0.3547096,-0.81812274,0.9338899,-0.4691335,0.15510407,-1.1216627,-1.6536418,-0.8073652,0.80399954,0.18283828,-0.31652325,-0.12054804,0.31862146,1.501714,-0.37917536,0.33491513,-0.11794711,1.1886355,-0.57130915,-1.3012024,0.39715677,-0.09565434,-0.21106216,-0.19531374,1.3733786,-1.5311742,0.9808991,0.66092896,0.35731828,-0.9052385,-0.1719474,-0.23505466,-0.41314524,0.30449134,0.09301079,0.30957496,-0.7025537,0.45049864,0.2961202,1.1042835,0.9185883,1.0728744,0.6172864,-0.8738969,0.4127969,1.1204859,1.376705,-0.15031752,0.05281659,1.1009089,0.99046123,-0.9751818,0.7483221,-0.27571335,0.3508993,-0.08968059,0.8864746,0.10443676,0.5759158,-1.0592381,1.1660472,-0.7580328,0.00030519025,0.5468635,-0.45219058,0.53027797,0.6275421,-1.0810194,0.6233905,-0.8490433,-0.3259548,1.9629451,0.24375995,-0.7001595,-1.1797913,-1.1939794,0.76741153,0.9535802,0.6645457,-0.14797145,-0.5981728,0.026987376,0.52296734,-0.19834702,0.48376086,-0.2927295,0.42461595,1.0796204,1.2037196,0.42735454,-0.45626894,-0.008346324,0.31471625
-0.4745148,-0.43431976,-0.68494874,-0.2966202,0.94410175,0.14892994,0.06605895,1.1915259,-0.48424748,0.37172604,0.23785846,-1.7056248,0.599102,-0.54794216,-0.44076943,0.1675441,0.74742395,0.17927223,-1.0375919,0.3699827,0.50375885,0.23398681,-0.07597184,0.7795631,1.1948289,-0.36821747,-0.9503905,-0.6187403,-0.083125204,-0.35643315,0.45846328,1.3281609,0.57628936,0.92178226,0.6300726,0.48579508,-0.7696332,0.27640793,-0.2718032,0.43452635,-0.031989515,2.0833366,-0.33377257,-0.5454781,-0.40958163,-0.83993614,0.5087953,0.26799643,1.3234317,0.5043052,0.1092632,-0.332566,0.012166049,-0.31662324,-1.1780077,-0.6468969,0.62985057,0.8498287,-0.03432759,0.23018722,-0.027088603,-0.35708395,-0.5630168,-0.23147655,0.47931105,0.0960047,-0.647603,1.6960196,0.41778222,0.38677984,-1.6293342,-0.7654219,0.76743406,-0.47118345,0.20220368,0.36585778,-0.32808065,-0.11702328,-1.1595877,-0.048438992,-0.7081271,0.20795348,-0.66442513,-0.13577457,-0.72370976,0.6678707,1.0847707,-0.8802898,-0.6012347,0.37209526,0.14681405,0.12926205,0.9360966,0.07144359,0.14336888,0.27609277,-0.057619054,-0.61893857,0.06351029,-0.8102545
-0.29349077,0.63156813,-0.90667254,0.06705239,1.3235868,-0.7722202,-0.7533713,1.0285857,-0.6241832,0.13438709,-1.3716697,-0.028484687,0.24337135,-0.6170449,-0.97164226,-0.327965,-0.6914194,-0.42156166,-0.19230966,-0.012829637,0.29647988,1.0600749,-0.94497246,0.3317905,0.65803546,0.07411578,-0.40349498,-0.24501507,0.23127148,-0.66483337,0.04315987,0.7668039,-0.3469247,0.9645484,-0.19606619,1.2305694,-1.0588251,-0.027801199,-0.12052589,0.3902836,1.8095261,0.4652459,-0.9937588,-1.1004524,0.91942346,-0.6842498,0.9809724,0.11914714,0.4015638,0.6975451,-0.9240542,0.32913944,-0.39320254,0.11950394,-0.4559272,-0.120969795,0.062358882,-0.75130695,0.0473925,0.92090267,2.1916654,0.6745868,-0.6080665,-0.08861386,0.30039185,1.2149401,-0.22535801,0.5955871,0.6302764,0.14958048,0.013543432,-0.9597916,-1.0761427,-0.09502912,-0.27415803,-0.76889986,-0.7560349,-1.3373467,-0.35244346,1.0532502,-0.19724378,0.89498216,-1.3685579,0.96075946,0.8539044,0.34842342,-0.00044071817,0.17530659,-0.8888716,-0.09895552,-1.4508045,-0.03064782,0.20152538,0.12568733,0.20158994,0.7193355,0.44610256,-0.5626072,-0.42986465,-0.47509184
-0.2521152,-0.87550503,-0.5384758,-0.55039895,0.28640383,0.02244686,0.94188946,0.44760644,-1.0084318,1.30285,-0.9902631,-0.29078096,1.7901919,-0.70383984,-0.4577423,0.70838404,-0.48491117,-0.81333715,0.3132181,-0.60467744,0.82681507,1.1667546,-0.43633008,-1.6730961,2.5269077,-0.66048044,-0.8907582,0.03651164,0.26755068,-1.7969338,-0.24046469,1.7895361,0.11120548,1.7196664,1.0281899,0.15106323,-0.2680715,-0.26367447,-0.65890676,-0.7662973,0.8462227,1.7769643,-0.49327058,-2.1569123,0.72348726,0.9699086,0.561124,0.5952798,0.6881715,1.6106983,-0.19596136,0.46849376,0.65851325,0.27851003,-0.042421997,1.2685624,-1.2693592,0.5282237,-0.28567433,0.020159971,0.6724399,0.27666563,-0.22148167,0.28435832,-0.80339396,2.2043512,-0.65225077,1.1097872,-0.20099355,0.45659146,0.49946448,-1.4473262,-0.23320016,2.2492406,0.10697378,1.8219919,-0.7240959,-0.9536771,0.34118265,0.8128025,-0.54308045,0.23536964,-1.7452241,0.58751374,0.64410764,-1.1438607,-0.11984605,-0.75736016,-0.10244495,0.16862935,-0.799861,-0.56726485,-0.2399853,-0.3918803,-0.29990038,1.8963933,0.39419922,-0.25903162,-1.5380131,0.22717924
0.9128007,0.7354668,-1.4000833,-0.61650085,0.5811359,-0.84785986,-0.08346634,-0.49359754,0.8176348,1.2943507,-0.6586702,-0.8974309,-0.72226286,-1.2361156,-0.9254818,-1.6059955,0.7600086,0.45020825,-0.90812975,1.3122436,-0.111171916,1.2599926,1.02639,-0.18069461,1.2848665,2.1232538,-1.4692887,-1.790817,0.4173473,-2.1535807,-0.6241142,-0.75456804,-1.8955607,-0.9279864,1.2302576,-0.06414845,0.034794256,-0.16944496,-0.30223945,1.8475342,0.19072668,1.4709306,1.0595443,-2.6136725,1.1315628,-0.06639052,0.846038,0.19611864,2.6884062,0.27351782,0.8552897,0.2566639,0.5527134,-1.7879711,-0.43771115,0.27575538,0.03739467,-0.33885095,0.5470157,-0.15624091,1.3620596,-0.11832963,-2.183012,1.3059126,0.36198887,-0.295428,-0.1272297,0.74833065,-0.2670317,-0.4548306,0.2509168,-0.33967412,0.010911993,0.22477257,-0.16457182,0.3634287,-1.7758234,-0.64151824,0.032755446,-0.33606422,-0.3586681,0.32917985,-0.14938697,1.056937,1.2512585,0.9061881,0.56977594,-0.3313161,-0.5355971,0.21796937,-0.004173871,-0.24033876,0.486424,-0.10180893,-0.22851439,1.2279291,0.3413219,-0.44278404,-0.62481934,0.19791263
