lemmas,scores,num_palabras_positivas,num_palabras_negativas,proporcion_palabras_positivas,proporcion_palabras_negativas,sentimiento_lexico_total,num_palabras_alegria,num_palabras_tristeza,num_palabras_enojo,num_palabras_miedo,proporcion_alegria,proporcion_tristeza,proporcion_enojo,proporcion_miedo,cluster,sentiment_label
foro banca articulador empresarial desarrollo sostenible director sostenibilidad cliente global bbva colombia andrés garcía importante entender sostenibilidad asociar mayor costo concepto negocio sostenible impacto imaginamospar garcía reto importante cambiar prioridad compitar necesariamente caso tratar mantener prioridad ambición negocio sostenible reto enorme coyunturo sostenibilidad abrir oportunidad mejor fuente financiamiento agregóel directivo argumentar juego acá tema rentabilidad negocio particular tema viabilidad mundo negocio mundo físico general conocer riesgo físico transición asociados cambio climático inclusión social desarrollo real ahíesto aspecto paralelo responsabilidad social corporativo adn estrategia negocio lograr impulsar proyecto específico incluido aspiración concluir,0.2867894736842105,2,0,0.0219780219780219,0.0,2,0,0,0,0,0.0,0.0,0.0,0.0,1,Negativa
regulador valor chino domingo buscar cooperación estrecho par estadounidense apoyar salida bolso extranjero supervisor estadounidense endurecer exigencia divulgación información empresa chino expresar preocupación medida pekínla comisión regulador valor chino csrc comunicado tomar nota requisito comisión valor unido sec empresa chino ambos parte deber mantener espíritu respeto mutuo reforzar comunicación regulaciónla csrc abierto empresa elijar dónde salir bolsa político nacional básico chino avanzar reforma apertura inquebrantable apertura financiero mundo exterior continuar sitio webla sec viernes exigir compañía chino reveler incertidumbre futuro acción gobierno chino poder afectar significativamente resultado financiero empresa permitir él captar capital mercado valor estadounidenses él emisor chino revelar denegar permiso autoridad chino cotizar bolsa estadounidense riesgo dicho aprobación denegado rescindido secchín reforzado control regulatorio emisión acción extranjero lanzar investigación ciberseguridad gigante transporte didi global inc mes día cotización yorkel gabinete chino julio reforzar supervisión empresa chino cotizar extranjeroel regulador ciberespacio chino empresa dato millón usuario someter él revisión ciberseguridad cotizar extranjeroel banco central chino empresa pago bancario informar plan cotizar extranjero,0.3370833333333333,0,1,0.0,0.00625,-1,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
industria históricamente masculino aviación vivo presentar avión rosado aneo apostar equidad género lucha cáncer mama inclusión diversidaddesde francia go pink precio promedio us millón convertir él aeronave número finalizar año aerolíneaen vivo trabajar fuerte mujer grupo ejecutivo compuesto mujer meter llegar staff félix antelo ceo vivaasimismo evaluar traer avión propuesto año proyectar crecimiento silla trimestre comparación periodo ir mover millón pasajero finalizar año número ambicioso contento reacción mercado pasajero elegir vivo flota imagen precio bajo dijosobre plan expansión internacional compañía aerolíneo continuar crecer proyectar abrir ruta añostener apostar florida york república dominicano aires probablemente año contar declar ryar presidente grupo vivadel revelar estudiar alianza viva aerobus aerolínea mexicano recientemente empezar operar colombiavivo aerobus hijo mí juan carlos ceo amigo seguramente él contemplateneir entrada empresa modelo low cost cuestionar industrio camino nicho obstante asumir aerolínea ryanar promedio persona ahorrar us viajar modelo costo us billón ahorrado colombiano historio aviación mostrado aerolínea tratar modelo low cost funcionar costo,0.2435,1,0,0.0064516129032258,0.0,1,1,0,0,0,0.0064516129032258,0.0,0.0,0.0,1,Negativa
dato marzo ipc interanual encadenar decimoquinto tasa positivo consecutivo inflación publicado ine mantenido avance marzo situar punto dato febrero ascender de punto diferencio colocar grupo viviendar punto subido electricidad transporte punto alzar carburante impulsar ipc marzo aumento precio restauración servicio alojamiento encarecimiento generalizado alimento especialmente pescado marisco carnir legumbr hortaliza leche queso huevossin rebaja impuesto especial electricidad variación impuesto ipc interanual alcanzar marzo nueve décima tasa general reflejar ipc impuesto constante ine publicar marco estadísticalar inflación subyacente alimento elaborado producto energético aumentar marzo décima alto septiembre subyacente situar punto debajo tasa ipc generalar año calefacción alumbrado distribución agua encarecido aceite grasa elevado precio transporte personal caro coste carburante registrar alza dígito huevo leche caro año carne ovino pescado fresco congelado repunte casoscómo precio comunidadescastillalo manchar situar cabeza tasa inflación seguido castilla león aragón riojo galicia extremadura cantabrio comunidad valenciano en comunidad registrar menor subida canario madrid balear asturia país vasco cataluña el ipc disparar tasa mensual en tasa mensual ipc registrar marzo incremento febrero alza mensual mes cambiar metodología estadístico recoger evolución mercado echar vista atrás tomar serie anterior repunte mensual marzo elevado agosto en tercer mes índice precio consumo armonizado ipca situar tasa interanual punto febrero indicador adelantado ipca avanzar tasa mensual,0.2647142857142857,2,0,0.0098522167487684,0.0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
cartagena inicio versión número convención bancario encuentro banquero país presidente gustavo petro sesión clausura viernesmario pardo bayona presidente junto directivo asobancario presidente bbva colombia inicio sesión aperturo destacar avance económico financiero país reto clave reducir inequidadesen sentido directivo proponer objetivo banco punto resaltar importancia seguir financiar infraestructura telecomunicación energío agua alcantarillado facilitar vida provisión servicio ruralidadcomo tercer punto clave seguir comprometido bancarización aumentar acceso crédito adulto pyme colombia acceder crédito formal sustituir gota goto crédito formal instrumento colombiano poder materializar sueño reducir pobreza microempresario directivootro objetivo producto financiero económico aprovechar digitalización punto garantizar avance llegar todo población negro raizal palenquera indígena mujer cabeza familia campesino joven discapacitado migrant etc deber identificar derribar barrera existar sector deber medir publicar comprometer cifra avanz servicio segmento poblacional pardoa turno gerente general banco república leonardo villar resaltar papel banco pandemiar cifra julio excluir cartera moneda extranjero mostrar tasa crecimiento crédito agregado cercano cartera consumidor crecimientir contrapartido endeudamiento consumidor empresa aumento tasa reflejar incremento carga financierade superintendente financiero jorge castaño advertir aumento cupo tarjeta crédito deterioro originación nuevo problema sobreendeudamiento familia poder acceder cupo alto tarjeta crédito superintendencia financiero ver carga financiero hogar empezar aumentar porción dinero familia utilizar pagar deuda empezar crecer agregamos efecto inflación presión capacidad pago mensaje sigamos responsable crédito castañodurante apertura evento gerente emisor referir avance pago digital tomar decisión avanzar sistema transferencia digital inmediata seguro eficient totalmente interoperable contribuir competitividad mercado desarrollo paísfrente anuncio director diar luis carlos reyes avanzar emisión moneda digital villar inicio agosto instalar foro avanzar decisión urgente relacionado pago inmediato foro servir insumo futuro tomar decisión emitir moneda digitalun reto seguir ofrecer garantía facilitar acceso crédito mujer esquema brecha favor hombresconfiar foro convierta herramienta avanzar decisión pago inmediato referente cercano sistema pix desarrollado brasil año operación adultos utilizar sistema pagos foro servir yo avanzar diseño esquema amplíen oferta pago transfronterizo evaluar conveniencia emitir moneda digital banco central villarasobancario cambiar marca eslogar añosen inicio convención bancario cartagén asobancario anunciar renovación logo año sloguir referir acercar banca colombianoslo presidente hernando josé gómez reflejo transformación experimentado sector financiero compromiso país dirigente gremial marca buscar reflejar apoyo desarrollo sostenible país construcción camino futuro compartido,0.224325,4,1,0.0113314447592068,0.0028328611898017,3,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
emprendimiento sector inmobiliario rentatop cerrar ronda financiación us millón inmobiliario century planear acelerar crecimiento fortalecer operaciónla startup desarrollar plataforma utilizar big datar inteligencia artificial línea proceso presente arreir residencial oferta demanda inmuebl residencial calificación crediticio búsqueda garantía firma contratosadicionalmente acuerdo comercial compañía significar plataforma encargado manejar arriendo inmuebl portafolio inmobiliario colombiaa alianza plataforma lograr inicio alcance nacional gracias presencia oficina fuerza comercial agente ciudad país alberto rodríguez presidente ceo century con plataforma sumo portafolio propiedad mercado superior us millón compañío,0.35625,3,0,0.0375,0.0,3,0,0,0,0,0.0,0.0,0.0,0.0,1,Negativa
país pendiente generar mejor acción contrarrestar pobreza laboral causa acuerdo reporte consejo nacional evaluación político desarrollo social coneval nivel nacional trimestrar indicador medido porcentaje población capacidad adquirir canasta básico alimentario ingreso laboral ubicar significar disminución anual punto porcentualesluis antonio espinoso carrasco economista senior bbva méxico señalar columna inflación informalidad retos pobreza laboral publicado periódico economista dato coneval revelar tercio población posibilidad costear canasta básico resultar preocupante duda dejar lograr reducción nivel pobreza país ver lejanaespinós destacar factor corto plazo plantear principal reto seguir sendo reducción nivel pobrezar inflación informal caso inflación escenario preocupante nivel promedio anual trimestrar aumento golpear familia menor recurso incremento precio significar pasar situación vulnerabilidad carenciado factor corto plazo plantear principal reto seguir sendo reducción nivel pobrezar inflación informalde acuerdo economista especialista tema desarrollo política público daño evidente observar valor monetario canasta consumo determinar línea pobreza extremo ingreso incremento anual promedio trimestre ámbito rural urbano respectivamentear referir informalidad espinoso explicar mitad población ocupado laboro informalidad condición desencadenar menor ingreso salarial faltar acceso seguridad social generar condición precariedad posicionar trabajador situación vulnerabilidad evidente trimestre observar brecho salario formal promedio pesos informal peso propenso peligro caer nivel pobrezar laboralinclusión financieralar disminución efectivo convertido reto financiero importante méxico alfonso gurza gonzález economista principal bbva méxico destacar artículo inclusión financiero combate efectivo publicado periódico economista correlación dinero físico inclusión financiero alto grado informalidad paísel economista bbva research méxico puntualizar desafortunadamente panoramar indicador siguiente trimestre mostrar recuperación caso inflación elevado resta año prever baje detallar cifra coneval ingreso población formal ocupado recuperación nivel pre pandemiar informalés espinoso advertir contexto adverso político económico social papel central trimestres contrarrestar efecto negativo factor nivel pobreza méxico sugerir actual revisión presupuesto egreso federación destinar recurso programa social evidenciar contribuir reducción pobreza endir mejorar condición vido mexicano acción político económico fiscal proteger población vulnerableel artículo publicar economista agosto consultarse link ,0.1368571428571428,4,2,0.0132013201320132,0.0066006600660066,2,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
podcast placer entrevistar nacho escobar profesor universidad introducir agile alumno prepararl realidad empresarial nacho comparte podcast píldora agilar visión importante introducir agile formación actual ventaja competitivo suponer incorporar concepto alumno nachir fundador podcast talentboost dedicado hablar tendencia mundo organización thinktank rrhh sector legal elobservatorio publicación compartir bondades agile sector legal,0.3236666666666666,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
factor humano normalmente identificado factor débil influir modelar realidad digital computacional comienzo jugar papel relevante momento clave historia momento probablemente significativo descifrado enigma código secreto utilizado ejército alemán guerra mundial cine acercar histórico ahondar matemático descifrar dedicar aplicar teoría comportamiento diseño enigma complejo excepcional máquina portátil recordar máquina escribir cuyo elemento fundamental sistema rotor panel clavija circuito eléctrico conectar regla juego tratar característica particular diseño posibilidad romper enigma base fuerza bruta billones winston churchill primero behavioral scientist escribir éxito criptoanálisis enigma depender éxito estudio psicologío persona envir mensaje estudio análisis cuidadoso tiempo factor humano conducir brecho información caso ingeniería social punto visto psicológico sesgo norma social atención fatigar serie elemento facilitar enormemente labor fuerza aliado descifrar enigma resultado anterior complejo seguridad enigma seriamente comprometido permitir aliado romper código estimación acortar guerra año salvar número ingente vida diseño perfecto papel pasar alto ahora información interacción máquinahumano u elemento management precisamente complejidad diseño sofisticación vulnerabilidad factor humano manifestarar más conocimiento máquina servido posterior desarrollo computación criptografía comunicación y definitivo mundo conocer hoy persona artículo resultar alejado banca merecer pena mencionar arthur scherbius ingeniero inventor alemán construir enigma idea utilizado banco empresa comercial mantener comunicación secreto preguntar gente usar contraseña seguro deber preguntarno sistema creación contraseña influir error persona comet error diariamente mayoría caso formar deliberado multitasking presión sobrecargo información lamentablemente error explotado inducido forma deliberado cibercriminal con tanto eficacia mago escenario desvir ver imposible comprender factor humano crucial implementar medida consecuencio capacitación información ayudar persona evitar yo corrijar error ocurrir desconstrucción factor humano ilustrar aquí significar reconocer también persona cometer error diseñar posteriormente anticipar yo prevenir él,0.1919142857142857,1,0,0.0038022813688212,0.0,1,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
perfil demandar banco evolucionado gestión talento bancario bancario llevar traje vistar casual teletrabajar casa sostenibilidad must él decir norma distinto talento demanda entidad financiero diverso mostrar incorporación desarrollador cabo bbva área ingenieer perfil técnico bbva rosaliar sala estudiar matemático actualidad científico dato unidad ingeniería banco nunca pensar poder banco pero ejemplo detrás cotidiano sacar dinero cajero conjunto modelo predictivo optimización ruta planificar dinero exacto disponibilizar modelo datar scientist realizar afirmar,0.3201428571428572,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,Positiva
